timestamp,open,high,low,close,adjusted_close,volume
1999-11-01,25.69,25.69,24.69,25.38,18.1952835757,1340100
1999-11-02,25.44,26.19,25.13,25.88,18.5537406989,970500
1999-11-03,26.25,26.69,25.94,26.5,18.9982275317,664600
1999-11-04,26.75,29.0,25.94,28.81,20.654299441099997,1564200
1999-11-05,28.94,29.25,27.0,28.0,20.073598901500002,1815200
1999-11-08,28.63,29.25,28.63,29.0,20.7905131479,1014000
1999-11-09,29.0,29.25,28.5,28.75,20.611284586300002,1022000
1999-11-10,28.63,29.38,28.63,29.06,20.8335280027,964500
1999-11-11,29.0,29.38,28.75,29.0,20.7905131479,699500
1999-11-12,29.13,29.19,28.56,28.81,20.654299441099997,370100
1999-11-15,29.0,29.69,28.69,29.25,20.9697417096,1061000
1999-11-16,29.38,30.31,29.13,29.81,21.3712136876,1331300
1999-11-17,29.63,29.94,29.5,29.69,21.285183978,562800
1999-11-18,29.69,29.75,29.13,29.31,21.012756564300002,554300
1999-11-19,29.19,29.63,28.88,29.25,20.9697417096,660600
1999-11-22,29.0,29.56,28.38,28.5,20.4320560247,716100
1999-11-23,28.56,28.56,27.5,27.63,19.8083406303,1102100
1999-11-24,27.38,27.38,26.88,27.19,19.492898361800002,1219600
1999-11-26,27.31,27.88,27.25,27.56,19.758156633,296700
1999-11-29,27.31,27.38,26.94,27.06,19.3996995098,533400
1999-11-30,27.06,27.38,27.0,27.38,19.629112068599998,756600
1999-12-01,27.25,27.44,27.0,27.19,19.492898361800002,1386800
1999-12-02,27.19,27.44,27.0,27.19,19.492898361800002,461600
1999-12-03,27.06,27.25,26.75,26.94,19.3136698002,1129900
1999-12-06,26.5,26.56,25.81,26.5,18.9982275317,943500
1999-12-07,25.75,27.19,25.75,26.88,19.2706549454,1094400
1999-12-08,26.63,26.81,25.94,26.56,19.041242386500002,1146900
1999-12-09,26.0,26.38,25.88,26.06,18.682785263299998,855400
1999-12-10,26.0,26.44,25.69,26.13,18.7992838283,1181600
1999-12-13,25.88,26.44,25.88,26.0,18.7057550531,1342600
1999-12-14,25.75,26.75,25.69,26.63,19.159009887,1414800
1999-12-15,26.38,26.5,25.5,25.94,18.662587926,1357300
1999-12-16,26.06,26.06,25.13,25.5,18.3460289944,1139000
1999-12-17,25.0,25.25,23.62,24.81,17.8496070333,2260300
1999-12-20,25.06,25.31,24.75,25.25,18.166165965,1010100
1999-12-21,25.0,25.0,22.38,24.25,17.4467138476,2357800
1999-12-22,24.13,25.06,24.13,24.81,17.8496070333,2018600
1999-12-23,25.44,28.56,25.31,27.13,19.5187359458,1402600
1999-12-27,27.13,27.94,27.13,27.5,19.7849332292,979300
1999-12-28,27.44,27.75,27.06,27.25,19.6050701998,742300
1999-12-29,27.0,27.25,26.81,27.0,19.4252071705,315600
1999-12-30,27.25,27.25,26.19,26.94,19.3820400434,312400
1999-12-31,26.69,26.94,26.19,26.94,19.3820400434,264300
2000-01-03,26.19,26.25,26.0,26.19,18.8424509554,776300
2000-01-04,25.5,26.0,25.5,25.5,18.3460289944,633300
2000-01-05,25.75,25.94,25.25,25.69,18.482724896700002,749800
2000-01-06,25.69,27.31,25.63,26.75,19.2453441411,427900
2000-01-07,27.0,28.38,26.94,28.25,20.3245223173,896300
2000-01-10,28.13,28.19,27.56,27.63,19.8784620045,513600
2000-01-11,27.88,28.19,27.13,27.19,19.5619030728,572300
2000-01-12,26.69,26.75,26.13,26.31,18.9287852095,839900
2000-01-13,26.44,28.5,26.38,28.13,20.2381880632,680700
2000-01-14,28.0,28.0,26.88,27.38,19.6985989751,631700
2000-01-18,27.19,27.94,26.75,27.44,19.7417661022,904700
2000-01-19,27.19,28.63,27.0,28.38,20.4180510925,888800
2000-01-20,28.38,28.63,27.63,27.81,20.0079633856,752100
2000-01-21,29.0,29.44,28.38,28.81,20.727415503,1278900
2000-01-24,28.69,28.69,27.13,27.88,20.058325033800003,857100
2000-01-25,27.63,28.0,26.81,27.19,19.5619030728,677300
2000-01-26,27.38,27.88,26.81,26.81,19.2885112682,706500
2000-01-27,26.94,27.88,26.69,27.88,20.058325033800003,850800
2000-01-28,27.63,27.63,26.38,26.5,19.0654811118,810600
2000-01-31,26.44,26.81,25.81,26.19,18.8424509554,751100
2000-02-01,26.31,27.13,26.13,27.13,19.5187359458,469300
2000-02-02,26.88,26.88,26.0,26.31,18.9287852095,816100
2000-02-03,26.31,26.31,25.63,26.0,18.7057550531,660200
2000-02-04,26.25,26.44,25.94,26.0,18.7057550531,667000
2000-02-07,26.25,26.44,25.94,26.0,18.7057550531,552500
2000-02-08,26.0,26.0,25.25,25.69,18.482724896700002,780600
2000-02-09,25.44,25.94,24.75,25.88,18.619420799,1487800
2000-02-10,25.81,25.94,24.81,25.13,18.0798317109,853200
2000-02-11,25.38,25.44,24.81,25.0,17.986302935599998,732700
2000-02-14,25.19,25.88,25.0,25.81,18.569059150799998,767800
2000-02-15,25.38,25.5,24.0,25.13,18.0798317109,810500
2000-02-16,25.0,25.75,24.81,25.44,18.3028618673,894400
2000-02-17,25.5,26.44,25.0,26.31,18.9287852095,887100
2000-02-18,26.56,31.88,26.56,30.56,21.9864567085,4358000
2000-02-22,30.25,30.25,28.31,29.06,20.9072785324,1977400
2000-02-23,28.81,30.63,28.69,30.0,21.583563522800002,2633800
2000-02-24,29.38,32.0,28.88,32.0,23.0224677576,2466900
2000-02-25,32.0,34.44,31.88,34.13,24.5549007677,3712000
2000-02-28,33.38,33.44,30.75,31.0,22.303015640199998,2058300
2000-02-29,31.0,31.88,30.25,31.0,22.303015640199998,1528100
2000-03-01,30.94,32.31,30.56,31.31,22.5260457966,2458500
2000-03-02,31.94,32.38,30.75,31.44,22.6195745719,1741700
2000-03-03,31.5,31.94,30.81,31.5,22.6627416989,1670300
2000-03-06,31.56,31.56,30.31,30.81,22.1663197379,1004300
2000-03-07,30.25,30.25,28.75,29.63,21.3173662393,1824600
2000-03-08,29.69,30.31,28.88,30.06,21.6932799707,1896800
2000-03-09,30.25,31.31,29.56,30.88,22.285046090999998,1500700
2000-03-10,32.0,33.0,31.69,32.0,23.0933120114,2773900
2000-03-13,31.75,31.75,30.06,30.63,22.1046295909,856600
2000-03-14,30.88,31.06,29.5,29.63,21.3829635905,1112400
2000-03-15,29.38,30.63,28.94,30.44,21.9675130508,1622600
2000-03-16,30.44,31.19,30.13,31.0,22.371646011,1630600
2000-03-17,31.25,31.69,30.69,31.25,22.5520625111,1512500
2000-03-20,31.0,31.63,30.81,31.0,22.371646011,706700
2000-03-21,31.0,31.06,30.38,31.0,22.371646011,790600
2000-03-22,30.75,31.0,29.94,30.94,22.328346051,889500
2000-03-23,30.81,30.81,29.56,30.0,21.649980010700002,935100
2000-03-24,29.0,29.56,27.25,28.0,20.2066480099,1617600
2000-03-27,28.0,28.06,26.63,26.94,19.4416820496,1480500
2000-03-28,26.81,27.5,26.63,27.13,19.5787985896,1396200
2000-03-29,27.0,27.06,26.63,26.88,19.3983820895,1128600
2000-03-30,27.0,27.19,26.38,26.5,19.1241490094,1647400
2000-03-31,26.5,27.44,26.25,26.31,18.9870324693,1483000
2000-04-03,26.56,27.06,26.31,27.0,19.4849820096,1332300
2000-04-04,27.25,28.06,26.5,27.06,19.528281969600002,1773000
2000-04-05,27.0,27.75,26.81,27.19,19.6220985497,738800
2000-04-06,26.94,27.19,26.69,27.0,19.4849820096,1582000
2000-04-07,27.75,27.75,26.5,26.69,19.2612655495,1024700
2000-04-10,26.19,26.84,26.19,26.56,19.167448969400002,639300
2000-04-11,26.56,27.63,26.31,27.44,19.802515049700002,909700
2000-04-12,27.69,29.88,27.63,28.75,20.7478975102,1707300
2000-04-13,28.63,29.0,28.13,28.56,20.6107809701,720900
2000-04-14,28.31,28.38,26.63,26.88,19.3983820895,698500
2000-04-17,26.69,26.94,25.75,26.06,18.8066159693,859700
2000-04-18,26.13,26.75,25.81,26.75,19.3045655095,739500
2000-04-19,26.75,26.75,25.75,25.81,18.6261994692,1293200
2000-04-20,26.0,26.25,24.94,25.56,18.4457829691,1268000
2000-04-24,25.19,25.88,25.19,25.5,18.4024830091,1283000
2000-04-25,25.75,26.06,25.5,26.0,18.7633160092,1013000
