timestamp,open,high,low,close,adjusted_close,volume
2005-01-21,16.0,16.2,15.5,16.0,12.9893345095,22145000
2005-01-24,16.05,16.08,16.0,16.0,12.9893345095,3509900
2005-01-25,16.0,16.01,15.5,15.65,12.7051928171,2995500
2005-01-26,15.55,15.63,15.5,15.59,12.6564828127,1467500
2005-01-27,15.59,15.85,15.1,15.78,12.81073116,858000
2005-01-28,15.8,16.02,15.78,16.0,12.9893345095,697300
2005-01-31,16.05,16.26,16.02,16.13,13.0948728524,1641900
2005-02-01,16.13,16.28,16.0,16.2,13.151701190799999,838100
2005-02-02,16.2,16.34,16.16,16.2,13.151701190799999,759200
2005-02-03,16.21,16.21,15.99,16.01,12.9974528435,729500
2005-02-04,16.04,16.07,16.0,16.04,13.0218078457,926600
2005-02-07,16.03,16.1,15.75,15.75,12.7863761578,1128300
2005-02-08,15.75,16.0,15.71,15.8,12.826967828099999,274900
2005-02-09,15.83,15.94,15.68,15.79,12.818849494,410500
2005-02-10,15.7,15.71,15.5,15.58,12.6483644786,551600
2005-02-11,15.52,15.74,15.25,15.57,12.6402461445,842000
2005-02-14,15.3,15.65,15.1,15.6,12.6646011467,652500
2005-02-15,15.57,16.0,15.55,15.94,12.9406245051,438400
2005-02-16,15.95,16.14,15.81,16.1,13.0705178501,514800
2005-02-17,16.15,16.7,16.11,16.5,13.3952512129,928500
2005-02-18,16.57,16.8,16.4,16.74,13.590091230499999,2403100
2005-02-22,16.52,16.79,16.37,16.45,13.3546595425,782700
2005-02-23,16.4,16.75,16.35,16.6,13.476434553599999,474500
2005-02-24,16.51,16.75,16.45,16.75,13.598209564600001,482900
2005-02-25,16.75,17.27,16.75,17.27,14.0203629362,1240600
2005-02-28,17.25,17.25,16.55,16.7,13.5576178943,993300
2005-03-01,16.68,16.68,16.12,16.16,13.1192278546,916800
2005-03-02,16.55,16.71,16.05,16.36,13.281594535899998,1275400
2005-03-03,16.5,16.7,16.25,16.25,13.192292861199999,836400
2005-03-04,16.4,16.76,16.35,16.51,13.403369547,1138700
2005-03-07,16.68,17.16,16.67,17.09,13.8742329229,1395900
2005-03-08,17.45,17.45,17.2,17.25,14.004126268,1201500
2005-03-09,17.5,18.24,17.36,17.95,14.5724096528,1465300
2005-03-10,17.95,18.09,17.39,17.9,14.5318179825,966700
2005-03-11,18.05,18.08,17.9,18.0,14.613001323099999,722300
2005-03-14,18.03,18.16,17.42,17.85,14.4912263121,1093100
2005-03-15,17.98,18.25,17.52,17.65,14.328859630699998,687800
2005-03-16,17.45,17.7,17.18,17.32,14.060954606500001,726300
2005-03-17,17.22,17.5,17.22,17.39,14.117782945,301200
2005-03-18,17.35,17.4,17.17,17.26,14.012244602100001,383200
2005-03-21,17.26,17.35,16.76,16.95,13.760576246,394800
2005-03-22,17.07,17.14,16.99,16.99,13.7930495822,282500
2005-03-23,17.0,17.3,16.7,16.9,13.7199845756,766900
2005-03-24,18.15,18.65,17.75,18.09,14.686066329800001,2373600
2005-03-28,18.3,18.34,17.78,17.83,14.474989644,732200
2005-03-29,17.78,18.0,17.4,17.41,14.1340196131,457300
2005-03-30,17.47,17.85,17.45,17.7,14.3694513011,522800
2005-03-31,17.7,18.2,17.7,17.99,14.6048829891,1568500
2005-04-01,17.99,18.16,17.5,18.1,14.694184663800002,472000
2005-04-04,18.02,18.05,17.16,17.39,14.117782945,317800
2005-04-05,17.39,17.43,17.15,17.33,14.0690729406,294300
2005-04-06,17.4,17.48,17.2,17.25,14.004126268,339900
2005-04-07,17.25,17.39,17.13,17.28,14.0284812702,148700
2005-04-08,17.18,17.18,17.02,17.02,13.8174045844,256800
2005-04-11,17.05,17.14,16.98,17.08,13.8661145889,198600
2005-04-12,17.07,17.31,16.72,17.31,14.0528362724,353500
2005-04-13,17.31,17.31,16.79,16.81,13.646919569000001,307000
2005-04-14,16.8,16.87,16.125,16.18,13.1354645227,393000
2005-04-15,16.17,16.17,15.53,15.65,12.7051928171,367600
2005-04-18,15.0,15.36,14.95,15.3,12.4210511247,887200
2005-04-19,15.5,15.6,15.35,15.6,12.6646011467,583900
2005-04-20,15.63,15.69,15.05,15.1,12.2586844433,186800
2005-04-21,15.2,15.35,15.07,15.26,12.3885777884,980800
2005-04-22,15.15,15.21,14.7,15.0,12.177501102599999,858800
2005-04-25,15.05,15.27,15.0,15.27,12.3966961225,438900
2005-04-26,15.27,15.32,14.753,14.78,11.9988977531,408600
2005-04-27,14.78,14.78,14.2,14.3,11.6092177178,496200
2005-04-28,14.32,14.41,14.06,14.1,11.446851036500002,445600
2005-04-29,14.5,14.7,14.29,14.55,11.812176069500001,874600
2005-05-02,14.6,15.12,14.6,15.12,12.274921111400001,862700
2005-05-03,15.02,15.35,15.02,15.12,12.274921111400001,353400
2005-05-04,15.15,15.21,15.0,15.21,12.3479861181,573700
2005-05-05,15.22,15.57,15.16,15.5,12.583417806,517700
2005-05-06,15.55,15.77,15.41,15.47,12.559062803800002,335500
2005-05-09,15.5,16.0,15.5,15.91,12.9162695028,839900
2005-05-10,15.75,16.2,14.7,15.15,12.2992761136,1417000
2005-05-11,15.14,15.24,15.0,15.09,12.250566109200001,816500
2005-05-12,15.07,15.28,14.68,14.85,12.0557260916,770900
2005-05-13,14.85,14.9,14.25,14.26,11.576744381600001,420000
2005-05-16,14.3,14.51,14.06,14.06,11.4143777002,592700
2005-05-17,14.08,14.16,13.54,14.16,11.495561040899998,805600
2005-05-18,14.21,14.81,14.08,14.64,11.885241076199998,640000
2005-05-19,15.45,15.45,15.11,15.28,12.4048144565,698600
2005-05-20,15.4,15.67,15.25,15.55,12.624009476400001,381100
2005-05-23,15.6,16.3,15.51,16.25,13.192292861199999,756600
2005-05-24,16.25,16.25,15.8,16.1,13.0705178501,604300
2005-05-25,16.02,16.11,15.78,15.94,12.9406245051,336200
2005-05-26,16.04,16.04,15.41,15.62,12.6808378149,330900
2005-05-27,15.6,15.63,15.2,15.53,12.6077728082,297500
2005-05-31,15.52,15.53,15.32,15.48,12.5671811379,261900
2005-06-01,15.5,15.94,15.5,15.76,12.7944944918,457000
2005-06-02,15.7,15.95,15.64,15.95,12.948742839100001,333500
2005-06-03,15.9,15.9,15.8,15.88,12.891914500599999,195900
2005-06-06,15.87,15.87,15.8,15.85,12.867559498399999,295100
2005-06-07,15.9,15.9,15.69,15.82,12.843204496199998,247100
