timestamp,open,high,low,close,adjusted_close,volume
1999-11-01,36.75,37.25,36.44,37.19,19.3619535563,876100
1999-11-02,37.19,37.25,36.69,36.69,19.101642269000003,236600
1999-11-03,36.69,36.81,35.88,36.31,18.9038056905,356200
1999-11-04,35.94,36.31,35.25,35.44,18.450864050499998,337300
1999-11-05,35.81,36.88,35.81,36.63,19.0704049145,756800
1999-11-08,36.38,36.75,36.25,36.38,18.9402492708,272600
1999-11-09,36.0,36.13,35.56,35.81,18.6434944031,249500
1999-11-10,35.63,35.63,35.0,35.06,18.253027472,206300
1999-11-11,34.81,35.25,34.5,34.81,18.122871828399997,429700
1999-11-12,35.06,35.19,34.63,34.75,18.0916344739,128600
1999-11-15,34.5,35.13,34.44,35.13,18.2894710523,313500
1999-11-16,35.0,35.63,35.0,35.56,18.5133387594,395900
1999-11-17,35.38,35.5,35.0,35.19,18.3207084068,205100
1999-11-18,35.13,35.19,34.69,34.81,18.122871828399997,259400
1999-11-19,34.69,34.75,33.94,34.0,17.7011675428,273000
1999-11-22,33.56,33.81,32.75,33.0,17.180544968,692500
1999-11-23,33.19,33.25,32.25,32.5,16.9202336806,322000
1999-11-24,32.31,32.56,32.06,32.19,16.7588406824,480300
1999-11-26,32.25,32.44,32.06,32.19,16.7588406824,129100
1999-11-29,32.0,32.0,31.13,31.75,16.529766749500002,482300
1999-11-30,31.63,33.5,31.56,33.25,17.3107006117,1048800
1999-12-01,33.0,33.25,32.5,32.69,17.0191519698,261800
1999-12-02,32.56,33.13,32.5,33.0,17.180544968,320200
1999-12-03,33.0,33.69,33.0,33.44,17.4096189009,281700
1999-12-06,33.38,34.31,33.38,33.69,17.5397745446,669800
1999-12-07,33.81,34.13,33.75,33.88,17.6386928338,868100
1999-12-08,34.13,34.13,33.19,33.38,17.3783815464,323800
1999-12-09,33.44,33.5,33.13,33.13,17.2482259027,451100
1999-12-10,33.0,33.25,32.5,32.63,16.9879146153,297700
1999-12-13,32.81,32.81,31.88,32.0,16.6599223932,150600
1999-12-14,31.81,32.0,31.19,31.38,16.337136396800002,895500
1999-12-15,31.44,32.44,31.19,32.44,16.8889963261,636100
1999-12-16,32.31,32.31,31.75,32.0,16.6599223932,227600
1999-12-17,32.0,32.12,31.31,31.69,16.498529395,470100
1999-12-20,31.5,31.63,30.88,31.25,16.2694554621,388400
1999-12-21,31.13,31.13,30.5,30.5,15.878988531,695400
1999-12-22,30.5,31.5,30.5,31.0,16.139299818399998,530800
1999-12-23,30.88,31.5,30.63,31.38,16.337136396800002,423700
1999-12-27,31.0,31.19,30.75,30.81,16.0403815292,244900
1999-12-28,30.81,31.0,30.69,30.94,16.1080624639,292000
1999-12-29,30.94,31.06,30.31,30.63,15.9466694657,196100
1999-12-30,30.5,31.13,30.5,30.88,16.0768251094,367100
1999-12-31,30.81,31.19,30.81,31.19,16.2382181076,165600
2000-01-03,30.94,31.0,29.5,29.5,15.358365956199998,1615200
2000-01-04,29.56,30.0,29.56,29.88,15.5562025346,456400
2000-01-05,29.81,31.0,29.69,30.75,16.0091441747,1842300
2000-01-06,30.69,31.13,30.13,30.44,15.847751176500001,366500
2000-01-07,30.88,31.25,30.63,31.13,16.206980753099998,531300
2000-01-10,30.94,31.31,30.44,30.69,15.9779068202,257800
2000-01-11,30.56,31.56,30.56,31.5,16.3996111058,1471100
2000-01-12,31.31,31.5,31.06,31.31,16.3006928166,1518200
2000-01-13,31.56,32.0,31.31,31.63,16.4672920405,492700
2000-01-14,31.63,31.63,30.88,31.19,16.2382181076,276700
2000-01-18,31.0,31.0,30.44,30.56,15.9102258855,418900
2000-01-19,30.63,31.13,30.5,30.88,16.0768251094,512300
2000-01-20,30.94,31.13,30.31,30.94,16.1080624639,391500
2000-01-21,31.0,31.63,30.63,31.38,16.337136396800002,567300
2000-01-24,31.5,32.06,31.25,31.25,16.2694554621,657300
2000-01-25,31.31,31.31,30.5,30.69,15.9779068202,714500
2000-01-26,30.88,30.88,30.0,30.44,15.847751176500001,1105700
2000-01-27,30.69,30.69,29.94,30.0,15.618677243599999,572300
2000-01-28,29.75,30.25,29.44,29.5,15.358365956199998,514300
2000-01-31,29.75,30.38,29.31,30.0,15.618677243599999,982200
2000-02-01,26.13,26.63,22.75,23.5,12.2346305075,4026100
2000-02-02,23.0,23.0,20.31,21.38,11.130910649,6256700
2000-02-03,21.19,22.31,21.06,21.94,11.422459290799999,5044000
2000-02-04,21.88,22.0,20.13,20.38,10.800315314,3314200
2000-02-07,20.38,20.56,20.06,20.31,10.763219039600001,698100
2000-02-08,20.38,20.69,20.25,20.31,10.763219039600001,807100
2000-02-09,20.31,20.38,19.81,19.94,10.5671387321,1282000
