timestamp,open,high,low,close,adjusted_close,volume
1999-11-01,23.44,24.0,23.0,23.44,1.95333333333,76000
1999-11-02,22.88,23.19,22.81,22.88,1.90666666667,60800
1999-11-03,23.13,23.13,22.88,23.0,1.9166666666699999,75100
1999-11-04,22.88,23.06,22.5,23.0,1.9166666666699999,40300
1999-11-05,23.13,23.25,22.13,22.13,1.84416666667,56600
1999-11-08,22.06,22.5,21.94,22.06,1.83833333333,56600
1999-11-09,22.19,22.38,22.0,22.38,1.865,39000
1999-11-10,22.38,22.38,21.69,21.75,1.8125,52000
1999-11-11,21.78,21.88,21.13,21.38,1.78166666667,49700
1999-11-12,21.56,21.56,21.25,21.44,1.78666666667,43600
1999-11-15,21.5,21.5,21.0,21.0,1.75,60700
1999-11-16,21.25,22.56,21.25,22.56,1.88,66700
1999-11-17,22.56,22.75,21.88,21.94,1.82833333333,145200
1999-11-18,22.56,22.56,21.63,22.0,1.8333333333300001,40300
1999-11-19,21.94,22.0,19.83,20.06,1.67166666667,126000
1999-11-22,19.88,21.5,19.88,21.13,1.7608333333300001,96900
1999-11-23,21.0,21.38,20.75,20.75,1.7291666666699999,115300
1999-11-24,20.81,21.0,20.38,20.44,1.70333333333,99000
1999-11-26,20.56,21.38,20.0,21.38,1.78166666667,36600
1999-11-29,21.38,21.69,20.63,21.38,1.78166666667,90900
1999-11-30,22.63,26.0,22.13,26.0,2.16666666667,472400
1999-12-01,25.25,28.0,25.0,27.75,2.3125,322300
1999-12-02,27.88,28.13,27.5,28.0,2.33333333333,251900
1999-12-03,28.0,28.13,27.88,27.94,2.3283333333300003,261900
1999-12-06,28.06,29.38,28.0,29.0,2.41666666667,79100
1999-12-07,29.25,29.56,28.63,29.25,2.4375,158700
1999-12-08,29.25,29.25,27.13,27.5,2.29166666667,359300
1999-12-09,28.13,28.13,26.63,26.94,2.245,141300
1999-12-10,26.91,27.25,26.75,27.0,2.25,196100
1999-12-13,26.75,29.75,26.75,28.94,2.41166666667,97800
1999-12-14,28.88,28.94,27.88,28.19,2.34916666667,48400
1999-12-15,28.0,28.06,27.0,27.31,2.27583333333,311000
1999-12-16,27.31,28.0,27.13,27.88,2.32333333333,145900
1999-12-17,28.13,31.5,28.13,31.44,2.62,236000
1999-12-20,31.75,34.5,30.75,32.25,2.6875,173500
1999-12-21,32.0,34.0,32.0,34.0,2.83333333333,127700
1999-12-22,34.0,34.13,32.88,34.0,2.83333333333,103000
1999-12-23,33.0,35.38,33.0,35.38,2.94833333333,133900
1999-12-27,35.38,41.63,35.38,41.13,3.4275,329400
1999-12-28,45.53,51.75,40.63,42.03,3.5025,454400
1999-12-29,42.06,43.25,39.88,40.13,3.34416666667,209700
1999-12-30,40.75,41.13,39.88,40.69,3.3908333333300003,236000
1999-12-31,40.94,43.5,40.38,43.5,3.625,27600
2000-01-03,43.12,43.94,34.62,39.0,3.25,117100
2000-01-04,37.13,37.25,33.38,34.13,2.84416666667,168900
2000-01-05,34.25,35.13,33.63,34.0,2.83333333333,184200
2000-01-06,33.88,34.88,30.88,31.5,2.625,165500
2000-01-07,31.56,35.63,31.44,35.13,2.9275,54000
2000-01-10,35.75,36.25,34.94,35.63,2.96916666667,101800
2000-01-11,35.38,35.63,34.19,34.19,2.84916666667,49700
2000-01-12,35.13,35.13,34.0,34.25,2.85416666667,296000
2000-01-13,34.88,34.88,34.0,34.63,2.88583333333,82200
2000-01-14,34.63,35.13,34.5,35.06,2.9216666666699997,191100
2000-01-18,35.13,35.38,35.0,35.31,2.9425,173000
2000-01-19,35.28,37.13,35.13,36.13,3.01083333333,201100
2000-01-20,37.25,39.38,37.0,39.31,3.27583333333,168500
2000-01-21,39.5,39.81,37.94,39.0,3.25,167900
2000-01-24,38.19,39.5,38.13,38.94,3.245,131800
2000-01-25,20.0,20.0,15.5,19.53,3.255,107633
2000-01-26,18.25,19.0,17.0,18.0,3.0,241667
2000-01-27,18.97,19.0,16.38,17.75,2.95833333333,120067
2000-01-28,17.75,18.38,17.63,18.09,3.015,69000
2000-01-31,18.16,18.19,16.25,17.0,2.83333333333,221800
2000-02-01,17.75,18.38,17.25,17.5,2.91666666667,92467
2000-02-02,18.0,18.5,17.75,18.19,3.03166666667,56400
2000-02-03,18.44,19.0,18.0,18.88,3.14666666667,155467
