timestamp,open,high,low,close,adjusted_close,volume
1999-11-01,90.56,92.38,90.56,91.44,21.030971744400002,1385300
1999-11-02,91.25,91.31,88.63,88.75,20.4122784592,1582900
1999-11-03,89.94,89.94,88.38,89.06,20.4835776854,1224600
1999-11-04,89.06,89.13,87.94,88.25,20.2972797074,1256700
1999-11-05,88.75,89.0,85.5,85.5,19.664786572,1564900
1999-11-08,86.19,89.38,86.19,89.38,20.5571768866,1447700
1999-11-09,89.63,90.31,88.5,89.25,20.5272772111,1214400
1999-11-10,89.31,91.88,89.31,91.56,21.058571444800002,1708000
1999-11-11,91.5,91.5,89.81,90.5,20.8147740908,1524800
1999-11-12,90.25,92.44,89.25,91.38,21.017171894100002,1450400
1999-11-15,91.38,91.94,90.56,91.38,21.017171894100002,841900
1999-11-16,91.69,93.75,91.69,93.69,21.5484661278,1335700
1999-11-17,93.56,96.94,93.5,96.56,22.3580573411,2974400
1999-11-18,95.0,96.38,94.69,95.25,22.054732412399996,2005100
1999-11-19,94.0,94.44,92.25,93.19,21.577748173299998,1132300
1999-11-22,93.19,93.63,90.88,91.13,21.1007639343,1375400
1999-11-23,90.94,90.94,89.13,89.63,20.7534453136,1262400
1999-11-24,89.63,90.69,89.06,90.25,20.8970036768,1594800
1999-11-26,90.19,90.19,89.0,89.0,20.6075714929,676300
1999-11-29,88.38,89.19,87.81,88.56,20.5056913642,1349800
1999-11-30,87.25,90.5,87.19,88.56,20.5056913642,1262100
1999-12-01,88.75,92.5,87.88,92.5,21.417981607799998,1414800
1999-12-02,91.88,92.44,90.0,90.94,21.0567702423,1364900
1999-12-03,91.75,92.75,90.06,90.94,21.0567702423,1001000
1999-12-06,90.31,91.69,90.31,91.0,21.0706629872,817700
1999-12-07,91.06,91.13,89.56,89.75,20.781230803299998,1824900
1999-12-08,88.25,91.19,87.5,90.5,20.954890113599998,1678700
1999-12-09,91.0,92.5,91.0,92.19,21.346202426199998,1209300
1999-12-10,91.5,91.75,90.5,90.75,21.012776550399998,1342600
1999-12-13,90.69,90.75,88.56,89.56,20.7372371113,1590900
1999-12-14,87.88,89.88,87.81,87.81,20.3320320539,1808300
1999-12-15,88.38,91.75,88.38,89.94,20.8252244952,1258300
1999-12-16,89.94,89.94,88.81,89.44,20.7094516217,1232800
1999-12-17,87.5,89.94,87.5,87.5,20.2602528723,2283400
1999-12-20,87.5,88.0,85.0,86.14,19.9453506562,1187900
1999-12-21,85.31,87.0,85.13,85.44,19.7832686332,1210300
1999-12-22,85.63,85.88,84.31,84.75,19.6235020677,1090800
1999-12-23,85.5,86.69,84.0,86.44,20.0148143803,876600
1999-12-27,85.5,86.44,83.94,84.63,19.5957165781,1226900
1999-12-28,84.94,86.75,84.94,86.5,20.0287071252,1018400
1999-12-29,87.25,87.81,86.0,86.0,19.9129342516,755200
1999-12-30,86.13,87.63,85.44,85.5,19.797161378,901100
1999-12-31,85.69,86.69,84.75,86.63,20.0588080723,559200
2000-01-03,85.88,85.88,82.56,83.63,19.3641708309,2193800
2000-01-04,82.94,84.13,82.5,83.63,19.3641708309,1851200
2000-01-05,83.06,86.56,83.06,85.44,19.7832686332,2783800
2000-01-06,85.31,89.19,85.31,88.75,20.549685056199998,2176700
2000-01-07,90.0,90.88,89.0,90.31,20.9108964216,2243700
2000-01-10,90.06,90.06,87.69,87.88,20.3482402562,1052400
2000-01-11,87.88,88.88,86.94,87.06,20.1583727435,1395600
2000-01-12,87.06,87.63,85.88,86.75,20.0865935619,1496300
2000-01-13,86.5,89.25,86.13,87.56,20.2741456171,1626700
2000-01-14,85.81,87.44,85.56,87.0,20.1444799987,1836500
2000-01-18,87.5,89.5,86.94,89.31,20.6793506745,2158700
2000-01-19,89.0,89.0,87.75,87.94,20.362133001,2513500
2000-01-20,88.19,88.19,86.81,87.5,20.2602528723,1709900
2000-01-21,87.88,89.88,87.81,88.56,20.5056913642,1973900
2000-01-24,89.5,90.38,87.94,88.81,20.563577800999997,1768300
2000-01-25,88.81,90.5,87.63,88.56,20.5056913642,1927300
2000-01-26,89.25,89.75,86.5,87.75,20.318139309,1340500
2000-01-27,87.31,87.63,83.56,84.31,19.521621939,1775400
2000-01-28,83.56,83.69,81.88,82.56,19.1164168815,2033000
2000-01-31,82.06,83.94,80.75,83.63,19.3641708309,1830300
2000-02-01,83.38,84.44,82.5,83.19,19.2622907022,1305800
2000-02-02,82.69,83.94,82.44,82.63,19.1326250838,1709400
2000-02-03,82.13,82.5,80.63,81.44,18.8570856448,1756400
2000-02-04,81.25,81.25,78.38,78.56,18.1902338931,2112100
2000-02-07,79.13,80.0,78.44,79.06,18.3060067666,1567800
2000-02-08,80.13,80.69,78.31,78.31,18.1323474563,1783700
2000-02-09,78.44,78.69,74.94,75.0,17.3659310334,2401200
2000-02-10,75.56,77.44,74.88,76.81,17.7850288356,1916300
2000-02-11,77.38,77.63,72.19,74.0,17.134385286300002,2509900
2000-02-14,74.19,75.44,73.63,73.81,17.0903915943,2519900
2000-02-15,74.44,77.69,74.44,77.5,17.9447954011,3071700
2000-02-16,77.75,78.94,77.31,77.81,18.1670793184,2374600
2000-02-17,78.13,78.19,76.56,77.75,18.153070518,1867900
2000-02-18,77.5,77.75,75.81,76.19,17.7888417076,1785200
2000-02-22,75.06,76.19,74.25,75.69,17.6721017043,1763200
2000-02-23,75.0,75.06,72.81,73.25,17.102410488,1885000
2000-02-24,73.31,73.56,71.38,71.44,16.679811675899998,2707800
2000-02-25,72.0,72.75,69.94,71.06,16.591089273399998,3226700
2000-02-28,71.06,74.94,70.88,74.56,17.408269296700002,2548900
2000-02-29,74.56,75.44,73.44,74.69,17.4386216976,2148300
2000-03-01,74.56,75.63,72.63,75.25,17.5693705013,2316700
2000-03-02,75.38,77.44,74.94,75.69,17.6721017043,2025200
2000-03-03,74.56,75.38,73.56,74.56,17.408269296700002,2318800
2000-03-06,74.44,74.75,73.69,74.0,17.277520493,1407200
2000-03-07,74.56,82.0,74.5,81.0,18.911880539600002,2800000
2000-03-08,80.13,84.38,79.75,81.06,18.92588934,3631400
2000-03-09,80.31,84.0,79.75,83.25,19.4372105546,2153600
2000-03-10,83.56,84.81,79.44,80.38,18.767122935499998,2692300
2000-03-13,80.94,83.75,79.75,79.81,18.634039331700002,2085400
2000-03-14,80.0,83.13,79.31,82.88,19.3508229522,2104700
2000-03-15,82.88,84.0,80.88,83.94,19.5983117592,1878100
2000-03-16,83.19,87.0,81.69,84.13,19.6426729605,2597200
2000-03-17,83.94,84.0,82.31,83.31,19.451219355,2125500
2000-03-20,83.56,84.06,81.69,82.94,19.3648317526,1140200
2000-03-21,83.0,86.5,83.0,86.0,20.0792805729,1773000
2000-03-22,84.5,85.75,82.44,84.0,19.6123205596,1397100
2000-03-23,83.0,85.81,82.25,84.63,19.759412963800003,2098900
2000-03-24,84.75,85.94,84.75,85.63,19.992892970499998,1407600
2000-03-27,84.19,85.88,82.44,84.56,19.7430693633,1887100
2000-03-28,83.56,85.75,83.25,84.88,19.8177829655,1630400
2000-03-29,84.81,89.0,84.69,88.5,20.6629805896,2653100
2000-03-30,89.19,92.25,89.06,92.19,21.5245218142,3911600
2000-03-31,92.25,94.25,91.88,92.44,21.5828918158,3141000
2000-04-03,92.63,93.75,91.5,92.31,21.552539415,1788600
2000-04-04,92.56,93.25,89.38,89.81,20.9688393983,3821700
2000-04-05,89.63,90.69,87.38,87.5,20.4295005829,1479600
2000-04-06,88.0,89.81,87.31,88.94,20.7657117925,1149500
2000-04-07,88.94,88.94,86.31,86.44,20.182011775899998,1438000
2000-04-10,85.44,87.44,85.13,86.06,20.0932893733,1208800
2000-04-11,86.56,89.5,86.56,88.69,20.7073417909,1721700
2000-04-12,89.31,90.44,88.44,89.0,20.7797205929,1397700
2000-04-13,88.94,88.94,86.94,86.94,20.2987517792,2506600
2000-04-14,87.0,87.06,85.44,85.69,20.0069017709,1884700
2000-04-17,85.0,85.69,82.31,82.94,19.3648317526,1991500
2000-04-18,82.75,84.94,82.31,84.56,19.7430693633,1505200
2000-04-19,84.31,86.13,83.94,84.75,19.7874305646,1513500
2000-04-20,83.13,86.31,83.13,86.31,20.151659375,1112600
2000-04-24,85.31,87.31,84.94,85.25,19.9041705679,1499200
2000-04-25,85.38,86.19,84.06,84.81,19.801439365,1603000
2000-04-26,86.19,86.56,85.44,86.31,20.151659375,1027800
2000-04-27,86.31,89.0,86.31,88.44,20.6489717892,1447800
2000-04-28,87.44,88.44,85.13,85.13,19.8761529671,1405100
2000-05-01,85.5,88.5,85.5,86.31,20.151659375,1480600
2000-05-02,87.19,89.94,87.13,89.31,20.852099395,1778900
2000-05-03,89.44,89.44,87.31,87.31,20.3851393817,1396900
2000-05-04,87.56,89.13,87.56,88.38,20.6349629888,964100
2000-05-05,88.63,90.75,88.06,90.75,21.1883106046,1204800
2000-05-08,91.06,92.94,90.75,91.81,21.4357994116,1646000
2000-05-09,91.69,91.75,88.88,90.13,21.0435530005,996000
2000-05-10,89.44,91.88,89.44,90.88,21.218663005499998,1337800
2000-05-11,90.88,93.44,90.88,93.38,21.8023630221,1697500
2000-05-12,93.0,94.31,92.63,94.27,22.010160228,1660200
2000-05-15,93.81,94.75,93.44,94.0,21.9471206262,1668800
2000-05-16,94.0,94.0,92.06,92.94,21.6996318192,1539900
2000-05-17,90.75,91.69,90.06,91.31,21.4708214126,1501600
2000-05-18,91.56,92.06,90.38,90.88,21.3697103273,884200
2000-05-19,91.0,93.94,90.69,93.31,21.941105530799998,1383900
2000-05-22,93.81,94.88,93.31,94.06,22.1174620751,1679800
2000-05-23,93.69,93.69,91.56,93.25,21.926997007199997,1218100
