timestamp,open,high,low,close,adjusted_close,volume
1999-11-01,38.0,38.38,37.31,38.25,38.0398951348,201300
1999-11-02,38.5,38.5,37.31,37.38,37.1746739906,253000
1999-11-03,37.31,37.31,36.81,37.0,36.7967613069,246500
1999-11-04,37.0,37.44,36.75,37.19,36.985717648699996,226900
1999-11-05,37.19,37.88,37.19,37.5,37.2940148381,196100
1999-11-08,37.56,37.63,36.63,37.44,37.2343444143,222900
1999-11-09,37.25,37.38,36.25,36.63,36.4287936938,168500
1999-11-10,36.13,37.88,36.13,37.63,37.4233007562,185900
1999-11-11,37.63,39.25,37.63,38.13,37.9205542873,374700
1999-11-12,38.13,38.56,37.5,37.63,37.4233007562,157400
1999-11-15,37.13,38.0,36.5,37.94,37.7315979455,249200
1999-11-16,37.94,38.31,37.63,38.25,38.0398951348,226200
1999-11-17,38.13,38.56,37.81,38.31,38.0995655586,261800
1999-11-18,38.31,39.13,38.13,38.56,38.3481923242,245400
1999-11-19,38.38,39.0,38.31,38.94,38.7261050078,274500
1999-11-22,38.63,38.63,37.63,38.31,38.0995655586,220200
1999-11-23,38.06,38.19,37.44,37.88,37.6719275218,246800
1999-11-24,37.56,38.0,37.56,37.94,37.7315979455,194100
1999-11-26,37.94,37.94,37.5,37.75,37.5426416037,78800
1999-11-29,37.75,37.75,36.44,37.06,36.8564317306,209600
1999-11-30,36.81,37.5,36.75,36.81,36.607804965,178600
1999-12-01,36.63,37.69,36.5,36.81,36.607804965,210700
1999-12-02,36.63,37.25,36.56,37.06,36.8564317306,122800
1999-12-03,37.06,38.38,37.06,38.38,38.1691810529,134500
1999-12-06,38.0,38.19,37.31,37.56,37.353685261799995,148400
1999-12-07,37.0,37.88,36.44,37.63,37.4233007562,229100
1999-12-08,37.38,37.44,35.81,35.81,35.6132979027,145300
1999-12-09,36.06,36.06,35.13,35.63,35.4342866315,194200
1999-12-10,35.63,36.75,35.0,35.31,35.1160443715,273700
1999-12-13,35.38,35.69,34.94,35.13,34.9370331003,245000
1999-12-14,34.88,35.44,34.56,34.94,34.7480767585,274400
1999-12-15,34.69,37.31,34.56,36.25,36.0508810101,360400
1999-12-16,35.63,36.13,35.31,35.56,35.364671137100004,254000
1999-12-17,35.5,36.81,35.25,36.81,36.607804965,491000
1999-12-20,36.13,36.5,35.38,36.25,36.0508810101,289100
1999-12-21,36.0,36.38,34.94,36.13,35.9315401626,631800
1999-12-22,36.25,36.5,35.5,36.19,35.9912105864,278900
1999-12-23,36.19,36.38,35.75,36.0,35.8022542445,288300
1999-12-27,34.25,36.75,34.25,36.25,36.0508810101,279600
1999-12-28,36.5,36.88,35.63,36.63,36.4287936938,263300
1999-12-29,37.44,37.44,36.0,36.75,36.5481345413,186300
1999-12-30,36.75,37.88,36.5,37.5,37.2940148381,192800
1999-12-31,37.75,38.0,36.69,37.63,37.4233007562,116600
2000-01-03,37.62,37.94,35.0,35.56,35.364671137100004,312300
2000-01-04,35.0,35.5,34.56,35.13,34.9370331003,318300
2000-01-05,35.38,35.44,34.56,35.31,35.1160443715,255400
2000-01-06,35.13,37.13,35.0,36.25,36.0508810101,212700
2000-01-07,36.5,37.63,36.38,37.31,37.1050584962,153000
2000-01-10,36.75,36.88,35.75,36.38,36.1801669282,185400
2000-01-11,36.25,36.81,35.81,36.44,36.239837351999995,140500
2000-01-12,36.69,37.25,36.0,36.31,36.1105514339,183400
2000-01-13,36.25,37.56,36.25,36.94,36.737090883200004,209400
2000-01-14,36.38,37.25,36.06,36.94,36.737090883200004,406000
2000-01-18,36.0,36.75,35.75,36.44,36.239837351999995,185100
2000-01-19,36.31,37.06,36.22,36.69,36.4884641176,248300
2000-01-20,36.69,37.06,36.56,36.81,36.607804965,236200
2000-01-21,37.5,37.5,36.56,36.63,36.4287936938,246300
2000-01-24,36.38,36.56,35.81,35.81,35.6132979027,283600
2000-01-25,35.56,36.19,34.88,35.63,35.4342866315,404600
2000-01-26,35.63,36.25,34.75,36.19,35.9912105864,245600
2000-01-27,35.75,36.38,35.38,36.06,35.8619246683,154900
2000-01-28,36.06,36.19,34.69,35.88,35.6829133971,425100
2000-01-31,35.88,36.13,35.5,35.69,35.4939570552,206000
2000-02-01,35.44,35.63,35.0,35.44,35.2453302896,169500
2000-02-02,35.38,35.63,35.0,35.31,35.1160443715,269300
2000-02-03,35.0,36.31,35.0,36.19,35.9912105864,320200
2000-02-04,36.19,36.19,35.44,35.5,35.3050007134,224700
2000-02-07,35.25,35.5,34.88,35.0,34.807747182199996,317700
2000-02-08,34.0,34.56,33.5,34.56,34.3701640748,326900
2000-02-09,33.88,33.88,32.25,33.31,33.1270302468,510600
2000-02-10,33.31,33.75,32.75,33.5,33.3159865887,274700
2000-02-11,33.0,33.75,31.56,32.56,32.3811499501,374900
2000-02-14,32.0,32.44,31.31,32.44,32.261809102600004,274300
2000-02-15,32.25,33.88,32.13,33.5,33.3159865887,276800
2000-02-16,33.5,33.5,32.19,33.13,32.9480189756,204100
2000-02-17,33.38,33.5,31.75,32.38,32.202138678800004,257600
2000-02-18,32.0,32.0,31.5,31.75,31.5755992296,196700
2000-02-22,31.31,32.44,31.13,31.69,31.515928805799998,375700
2000-02-23,31.75,31.75,30.25,30.31,30.1435090598,381100
2000-02-24,30.38,30.38,29.31,30.25,30.083838636,780100
2000-02-25,29.94,30.25,29.25,29.75,29.5865851049,224200
2000-02-28,29.75,30.19,29.69,29.81,29.6462555286,476900
2000-02-29,29.56,30.63,29.19,30.0,29.8352118705,471200
2000-03-01,30.25,30.25,29.56,29.94,29.7755414467,296700
2000-03-02,30.19,30.19,29.0,29.31,29.1490019974,5187800
2000-03-03,29.25,32.0,28.81,30.0,29.8352118705,1271000
2000-03-06,30.38,30.38,28.75,29.88,29.715871023000002,469300
2000-03-07,29.88,30.44,28.88,29.13,28.9699907262,646000
2000-03-08,29.13,30.69,29.13,29.88,29.715871023000002,438400
2000-03-09,30.06,31.63,30.06,30.75,30.581092167199998,502100
2000-03-10,30.38,31.63,29.38,31.25,31.078345698400003,473100
2000-03-13,31.0,31.38,30.5,31.0,30.829718932800002,396700
2000-03-14,31.0,31.25,30.56,31.13,30.9590048509,223400
2000-03-15,31.94,34.19,31.0,33.81,33.624283778,426500
2000-03-16,33.5,35.5,32.88,35.38,35.1856598659,517700
2000-03-17,35.44,35.44,34.5,35.0,34.807747182199996,368500
2000-03-20,35.0,35.0,34.19,34.44,34.2508232273,395800
2000-03-21,34.69,35.13,34.0,34.81,34.6187908403,256800
2000-03-22,34.13,34.25,33.19,33.44,33.2563161649,283400
2000-03-23,33.25,34.75,33.19,34.25,34.0618668854,158200
2000-03-24,34.0,34.5,33.81,34.19,34.0021964617,219100
2000-03-27,33.94,34.0,32.94,32.94,32.7590626338,202500
2000-03-28,33.06,33.88,32.69,32.69,32.5104358682,185800
2000-03-29,32.94,33.94,32.94,33.69,33.5049429305,202400
2000-03-30,33.69,35.06,33.38,33.81,33.624283778,366100
2000-03-31,34.0,35.5,33.63,35.06,34.8674176059,176900
2000-04-03,35.0,36.38,34.75,35.81,35.6132979027,260900
2000-04-04,35.56,36.88,34.69,35.69,35.4939570552,304100
2000-04-05,35.75,36.44,34.88,35.19,34.996703524000004,181400
2000-04-06,34.5,35.19,34.38,34.81,34.6187908403,215900
2000-04-07,34.75,35.31,34.5,34.81,34.6187908403,199100
2000-04-10,34.63,35.69,34.63,35.38,35.1856598659,129900
2000-04-11,36.0,36.75,36.0,36.69,36.4884641176,212000
2000-04-12,36.44,37.81,36.25,36.31,36.1105514339,267200
2000-04-13,36.44,37.38,36.44,36.94,36.737090883200004,167300
2000-04-14,36.25,36.69,34.63,34.94,34.7480767585,272700
2000-04-17,35.06,36.63,34.25,36.44,36.239837351999995,300000
2000-04-18,36.25,36.25,34.13,35.25,35.056373947800004,217700
2000-04-19,35.0,35.0,34.19,34.38,34.191152803499996,183500
2000-04-20,35.0,35.38,34.0,34.75,34.559120416599995,230700
2000-04-24,35.0,35.38,34.81,35.25,35.056373947800004,154600
2000-04-25,35.06,36.13,34.56,36.0,35.8022542445,123300
2000-04-26,36.25,36.5,34.88,35.19,34.996703524000004,181500
2000-04-27,37.0,37.0,34.44,34.75,34.559120416599995,202500
2000-04-28,34.25,34.69,33.56,34.44,34.2508232273,253300
2000-05-01,33.88,34.75,33.5,34.56,34.3701640748,181200
2000-05-02,34.31,34.5,33.63,34.31,34.1215373092,203200
2000-05-03,34.06,34.13,33.5,33.94,33.7535696961,431100
2000-05-04,33.94,34.31,33.81,33.81,33.624283778,124900
2000-05-05,33.81,34.13,33.44,33.63,33.445272506799995,258800
2000-05-08,33.75,34.0,33.31,33.88,33.693899272399996,158300
2000-05-09,34.0,34.25,33.63,34.0,33.8132401198,372900
2000-05-10,33.94,34.31,33.63,33.88,33.693899272399996,259600
2000-05-11,33.94,34.0,33.5,33.69,33.5049429305,213500
2000-05-12,33.69,33.81,33.0,33.63,33.445272506799995,155700
2000-05-15,33.38,33.81,32.25,32.5,32.3214795263,431900
2000-05-16,32.75,33.44,32.19,33.06,32.878403481199996,307400
2000-05-17,32.81,33.06,32.44,32.81,32.629776715700004,160100
2000-05-18,32.31,32.94,32.0,32.19,32.013182336999996,236600
2000-05-19,32.19,33.31,31.75,32.94,32.7590626338,218300
2000-05-22,33.75,34.19,33.25,33.53,33.345821800500005,351500
2000-05-23,33.0,33.75,32.25,32.75,32.570106291900004,315300
2000-05-24,32.88,34.25,32.19,33.66,33.4751077186,341700
2000-05-25,33.81,33.81,32.59,33.16,32.9778541875,323900
2000-05-26,33.25,34.25,32.81,33.53,33.345821800500005,258500
2000-05-30,33.44,34.63,32.88,34.13,33.942526038000004,466400
2000-05-31,33.88,33.88,33.44,33.63,33.445272506799995,282000
2000-06-01,33.75,34.44,33.69,34.31,34.1215373092,386900
2000-06-02,34.06,34.5,33.81,34.19,34.0021964617,335100
2000-06-05,34.13,34.19,33.06,33.63,33.445272506799995,249700
2000-06-06,33.56,34.19,33.06,34.0,33.8132401198,291900
2000-06-07,33.88,34.19,33.69,33.88,33.693899272399996,200500
2000-06-08,33.63,34.19,32.94,33.88,33.693899272399996,257600
2000-06-09,33.63,34.0,33.38,33.88,33.693899272399996,198300
2000-06-12,33.75,34.19,33.69,33.69,33.5049429305,235900
2000-06-13,33.81,34.13,33.63,33.75,33.5646133543,321600
2000-06-14,33.56,34.31,33.56,34.25,34.0618668854,258700
2000-06-15,34.5,34.5,31.06,32.0,31.8242259951,1150800
2000-06-16,32.0,32.38,31.75,32.0,31.8242259951,671700
2000-06-19,31.88,32.06,31.38,31.69,31.515928805799998,340300
2000-06-20,31.38,31.38,30.81,30.88,30.7103780853,368300
2000-06-21,31.5,31.5,30.44,30.5,30.332465401599997,320900
2000-06-22,30.06,30.56,29.63,30.38,30.2131245541,366600
2000-06-23,29.88,30.0,28.88,29.19,29.02966115,599100
2000-06-26,29.19,29.31,28.81,29.0,28.8407048081,463900
2000-06-27,29.5,30.31,29.25,29.81,29.6462555286,399000
2000-06-28,29.75,30.56,28.94,29.9,29.7357611642,421200
2000-06-29,29.13,30.69,29.13,30.56,30.3921358254,313100
2000-06-30,30.19,31.13,30.0,30.19,30.0241682123,419300
2000-07-03,30.0,30.94,29.63,30.75,30.581092167199998,121000
2000-07-05,29.25,29.88,29.25,29.69,29.526914681100003,237800
2000-07-06,29.81,29.81,28.94,29.0,28.8407048081,218200
2000-07-07,29.44,29.5,28.75,29.13,28.9699907262,146800
2000-07-10,29.19,29.75,29.06,29.44,29.2782879155,151600
2000-07-11,29.06,29.5,28.75,29.44,29.2782879155,227700
2000-07-12,29.25,29.44,28.38,28.81,28.651748466300003,304800
2000-07-13,28.81,29.56,28.5,29.13,28.9699907262,236700
2000-07-14,29.38,29.69,28.88,29.31,29.1490019974,190700
2000-07-17,28.75,28.75,28.13,28.16,28.005318875700002,278300
2000-07-18,28.63,28.94,28.31,28.56,28.4031217007,427700
2000-07-19,28.5,28.5,27.75,28.19,28.035154087600002,1146200
2000-07-20,28.5,28.75,27.38,27.63,27.4782301327,250200
2000-07-21,27.38,27.69,27.19,27.31,27.1599878727,223300
2000-07-24,27.06,27.44,26.81,27.25,27.100317449000002,195100
2000-07-25,27.25,28.19,27.13,27.63,27.4782301327,225800
2000-07-26,27.56,27.69,27.0,27.0,26.8516906834,331400
2000-07-27,27.38,27.69,26.38,26.75,26.603063917800004,323600
2000-07-28,26.31,27.0,26.31,27.0,26.8516906834,422000
2000-07-31,27.0,27.19,26.56,26.75,26.603063917800004,188900
2000-08-01,26.75,27.19,26.25,27.06,26.9113611071,172600
2000-08-02,26.63,26.75,26.25,26.56,26.414107576,399100
2000-08-03,26.81,26.88,26.25,26.31,26.1654808104,260800
2000-08-04,26.63,26.63,26.13,26.44,26.294766728499997,168900
2000-08-07,26.25,26.44,26.0,26.13,25.9864695392,196300
2000-08-08,25.75,26.63,25.69,26.25,26.105810386599998,758500
2000-08-09,26.25,26.56,26.0,26.0,25.857183621100003,245700
2000-08-10,26.06,26.31,25.81,25.94,25.7975131973,192600
2000-08-11,26.0,26.31,25.81,26.19,26.0461399629,712900
2000-08-14,26.31,26.31,25.69,25.88,25.7378427736,152900
2000-08-15,25.94,26.0,25.56,25.63,25.489216008000003,186300
2000-08-16,25.88,25.88,25.38,25.56,25.419600513600003,363200
2000-08-17,26.0,26.0,25.69,25.75,25.6085568555,350800
2000-08-18,25.5,26.06,25.5,25.94,25.7975131973,216800
2000-08-21,26.0,26.0,25.56,25.94,25.7975131973,267600
2000-08-22,26.0,26.13,25.69,26.0,25.857183621100003,328500
2000-08-23,26.06,26.44,25.81,26.25,26.105810386599998,408200
2000-08-24,26.25,26.31,25.75,25.88,25.7378427736,317300
2000-08-25,26.13,26.25,25.81,26.0,25.857183621100003,205200
2000-08-28,26.0,26.25,25.75,26.0,25.857183621100003,271100
2000-08-29,26.0,26.0,25.63,26.0,25.857183621100003,309000
2000-08-30,25.88,26.06,25.5,26.0,25.857183621100003,273400
2000-08-31,26.0,26.31,25.75,25.75,25.6085568555,642000
2000-09-01,25.75,25.75,25.25,25.5,25.359930089899997,168900
2000-09-05,25.69,25.94,25.56,25.75,25.6085568555,237200
2000-09-06,25.63,25.88,25.38,25.5,25.359930089899997,252400
2000-09-07,25.63,25.63,24.88,24.94,24.803006135,334600
2000-09-08,25.0,25.25,24.75,24.94,24.803006135,293400
2000-09-11,25.0,25.19,24.88,25.06,24.9223469825,318000
