timestamp,open,high,low,close,adjusted_close,volume
1999-11-01,44.75,45.81,44.75,45.81,9.96697451058,19000
1999-11-02,45.69,45.69,44.75,44.75,9.73634816303,9280
1999-11-03,44.5,44.88,44.0,44.75,9.73634816303,17200
1999-11-04,44.5,44.56,44.25,44.56,9.695009478089998,25400
1999-11-05,44.75,44.75,44.5,44.5,9.68195515653,2680
1999-11-08,44.5,44.5,44.38,44.5,9.68195515653,15800
1999-11-09,44.75,44.94,44.5,44.5,9.68195515653,6000
1999-11-10,44.5,44.63,44.25,44.25,9.62756215003,27680
1999-11-11,44.31,44.49,44.25,44.25,9.62756215003,15880
1999-11-12,44.5,44.56,43.25,43.25,9.40999012404,12200
1999-11-15,43.75,44.75,43.75,44.75,9.73634816303,30280
1999-11-16,45.0,47.0,45.0,46.56,10.1301535301,8200
1999-11-17,49.25,50.0,48.88,48.88,10.6349206304,23080
1999-11-18,51.5,51.5,49.5,49.63,10.7980996499,18800
1999-11-19,47.75,47.75,46.88,47.25,10.280278228,9280
1999-11-22,48.0,49.13,47.75,48.75,10.606636267,8080
1999-11-23,48.69,48.69,47.5,47.5,10.3346712345,3680
1999-11-24,48.69,49.13,48.69,48.69,10.5935819454,44080
1999-11-26,51.0,51.5,50.94,51.25,11.150566332,7000
1999-11-29,51.0,51.0,49.94,49.94,10.8655469779,28000
1999-11-30,50.81,51.5,50.31,50.38,10.9612786693,64880
1999-12-01,51.0,52.0,51.0,51.13,11.124457688800002,7600
1999-12-02,51.38,51.63,51.19,51.19,11.1375120104,1600
1999-12-03,52.5,53.75,52.5,52.88,11.5052087343,10400
1999-12-06,52.81,53.63,52.81,53.63,11.668387753800001,18280
1999-12-07,54.19,54.19,53.69,53.75,11.6944963969,2480
1999-12-08,53.63,53.63,53.0,53.0,11.5313173774,61480
1999-12-09,53.25,53.38,52.81,52.88,11.5052087343,73800
1999-12-10,54.25,54.5,53.25,53.38,11.6139947473,33480
1999-12-13,55.75,58.5,55.75,57.5,12.5103914944,18880
1999-12-14,57.5,57.5,56.0,56.0,12.1840334554,11000
1999-12-15,54.0,54.5,54.0,54.25,11.8032824099,7480
1999-12-16,54.25,54.25,53.25,53.25,11.5857103839,2480
1999-12-17,54.5,54.75,53.5,53.5,11.6401033904,9280
1999-12-20,53.25,53.31,52.88,52.88,11.5052087343,2800
1999-12-21,54.13,55.25,54.13,55.25,12.020854435899999,14680
1999-12-22,56.5,56.5,55.25,55.25,12.020854435899999,4680
1999-12-23,55.5,56.25,55.5,56.19,12.2253721403,6600
1999-12-27,56.0,56.25,55.38,56.25,12.238426461900001,4280
1999-12-28,56.0,56.44,56.0,56.44,12.2797651468,2680
1999-12-29,57.75,58.06,57.5,57.75,12.564784500899998,21000
1999-12-30,57.5,57.56,56.75,56.75,12.347212474900001,7400
1999-12-31,56.81,56.81,56.44,56.5,12.2928194684,680
2000-01-03,56.25,56.25,55.75,55.75,12.129640448900002,4480
2000-01-04,56.0,56.56,54.81,54.81,11.925122744500001,16280
2000-01-05,52.5,52.5,51.5,52.25,11.3681383579,11200
2000-01-06,52.63,52.94,51.75,51.88,11.287636708299999,15480
2000-01-07,52.63,53.81,52.5,53.81,11.707550718499999,13400
2000-01-10,53.81,55.13,53.5,53.5,11.6401033904,14880
2000-01-11,56.0,56.38,54.5,54.88,11.940352786300002,20200
2000-01-12,55.0,55.5,54.94,55.5,12.0752474424,3400
2000-01-13,57.25,58.25,57.25,58.0,12.6191775074,18080
2000-01-14,58.38,59.0,58.25,58.44,12.714909198800001,13680
