timestamp,open,high,low,close,adjusted_close,volume
1999-11-01,22.44,22.63,22.0,22.19,10.4105764444,434200
1999-11-02,22.13,22.5,22.06,22.06,10.3495861363,360400
1999-11-03,22.13,22.25,21.81,21.88,10.2651380173,447400
1999-11-04,22.0,22.31,21.81,21.94,10.2932873903,227900
1999-11-05,22.0,22.69,22.0,22.69,10.6451545527,359100
1999-11-08,22.5,23.38,22.44,23.38,10.968872342100001,566600
1999-11-09,23.44,24.0,23.19,23.56,11.053320461099998,672800
1999-11-10,23.5,23.69,23.0,23.06,10.8187423528,242400
1999-11-11,23.13,23.31,23.06,23.06,10.8187423528,175400
1999-11-12,23.06,23.13,22.5,22.88,10.7342942338,198400
1999-11-15,22.94,23.75,22.94,23.69,11.114310769200001,316700
1999-11-16,24.13,24.13,23.5,24.0,11.259749196300001,225300
1999-11-17,23.88,24.19,23.75,24.13,11.3207395045,210800
1999-11-18,24.13,24.13,23.13,23.25,10.907882033900002,289200
1999-11-19,22.5,22.88,22.5,22.88,10.7342942338,337700
1999-11-22,22.75,22.75,22.13,22.38,10.4997161256,367000
1999-11-23,22.38,22.38,22.0,22.13,10.424651130900001,279500
1999-11-24,22.25,22.31,21.63,21.81,10.2739105814,348700
1999-11-26,21.94,21.94,21.5,21.56,10.156144527,167900
1999-11-29,21.69,21.69,21.38,21.56,10.156144527,263100
1999-11-30,21.38,21.56,21.31,21.44,10.0996168209,321500
1999-12-01,21.25,21.56,21.25,21.31,10.0383784727,271700
1999-12-02,21.44,21.69,21.06,21.38,10.0713529679,177800
1999-12-03,21.5,22.0,21.13,21.56,10.156144527,319600
1999-12-06,21.56,21.56,21.0,21.06,9.92061241832,260100
1999-12-07,20.81,21.44,20.63,21.0,9.89234856527,272900
1999-12-08,21.13,21.19,20.69,20.88,9.83582085919,293600
1999-12-09,20.75,21.44,20.69,21.31,10.0383784727,341200
1999-12-10,21.19,21.25,20.13,20.31,9.56731425527,344300
