timestamp,open,high,low,close,adjusted_close,volume
1999-11-01,21.0,21.0,19.81,19.81,16.652467690199998,1829600
1999-11-02,19.94,20.88,19.63,20.0,16.8121834328,2753100
1999-11-03,20.13,20.75,19.75,20.69,17.392203761300003,2566100
1999-11-04,20.94,21.38,20.38,20.5,17.2324880187,2068900
1999-11-05,20.69,20.88,20.06,20.13,16.9214626252,1870800
1999-11-08,20.38,20.63,19.63,20.31,17.072772276,1568000
1999-11-09,20.31,20.38,19.88,20.13,16.9214626252,925400
1999-11-10,20.19,20.19,19.69,19.94,16.7617468825,1327000
1999-11-11,19.56,20.13,19.56,20.13,16.9214626252,1241000
1999-11-12,20.0,21.31,19.81,21.31,17.9133814477,2387400
1999-11-15,21.5,22.38,21.0,21.63,18.1823763826,3438800
1999-11-16,22.06,23.06,21.56,23.06,19.3844474981,2260500
1999-11-17,23.0,24.38,23.0,23.5,19.7543155336,2579400
1999-11-18,23.75,24.13,22.56,22.81,19.1742952052,1307300
1999-11-19,22.56,23.75,22.56,23.13,19.4432901401,1380100
1999-11-22,23.25,23.63,22.75,23.13,19.4432901401,1413500
1999-11-23,22.88,23.06,22.0,22.44,18.863269811600002,1413000
1999-11-24,22.0,22.88,21.88,22.38,18.8128332613,1212700
1999-11-26,22.38,22.69,22.13,22.38,18.8128332613,593900
1999-11-29,22.31,22.75,22.19,22.69,19.1238586549,990500
1999-11-30,22.69,23.94,22.69,23.38,19.7054127523,1993400
1999-12-01,23.13,23.31,22.75,23.25,19.595844589000002,1083800
1999-12-02,22.88,23.25,22.88,23.0,19.3851365827,1099500
1999-12-03,23.25,23.25,22.38,22.5,18.96372057,1136400
1999-12-06,22.25,22.5,21.88,22.38,18.862580727,1042500
1999-12-07,22.25,22.25,21.69,21.75,18.331596551,1311900
1999-12-08,21.56,22.5,21.56,21.63,18.230456708,1195600
1999-12-09,21.56,22.44,21.56,22.0,18.5423045574,1133000
1999-12-10,21.75,21.75,20.88,21.0,17.699472532,1647200
1999-12-13,20.5,21.13,20.44,20.5,17.2780565194,1510600
1999-12-14,20.25,20.63,20.06,20.44,17.2274865979,1355700
1999-12-15,20.19,20.88,20.19,20.69,17.4381946042,1311200
1999-12-16,20.56,20.69,20.06,20.13,16.96620867,1607100
1999-12-17,20.5,21.19,20.25,20.81,17.5393344472,2070000
1999-12-20,20.81,20.81,20.0,20.38,17.1769166763,1531900
1999-12-21,20.13,20.75,20.13,20.56,17.3286264409,1571900
1999-12-22,20.69,21.38,20.38,20.69,17.4381946042,1440300
1999-12-23,20.88,21.38,20.88,20.94,17.6489026105,2249400
1999-12-27,21.13,21.38,20.5,20.69,17.4381946042,2483800
1999-12-28,20.69,22.0,20.38,22.0,18.5423045574,2279900
1999-12-29,22.13,22.81,22.13,22.38,18.862580727,1822800
1999-12-30,22.63,23.31,22.44,23.13,19.494704746,1561200
1999-12-31,23.38,23.56,22.5,22.5,18.96372057,853000
2000-01-03,23.0,23.44,22.88,23.44,19.7559826739,1810300
