timestamp,open,high,low,close,adjusted_close,volume
1999-11-01,24.88,25.0,23.56,23.69,1.67254722771,15004800
1999-11-02,24.0,24.25,23.75,24.0,1.69443366252,13668400
1999-11-03,24.44,27.75,23.56,27.0,1.90623787034,21765700
1999-11-04,27.25,27.38,25.94,26.06,1.83987255189,12231000
1999-11-05,26.56,26.88,25.19,25.44,1.79609968227,9619100
1999-11-08,25.5,26.0,25.25,25.69,1.81375003292,7057500
1999-11-09,25.75,25.75,25.0,25.38,1.79186359812,7196400
1999-11-10,25.19,25.31,24.38,24.63,1.73891254616,8460800
1999-11-11,24.75,25.31,24.63,25.25,1.7826854157799998,8367300
1999-11-12,25.44,25.5,24.88,25.13,1.77421324747,6392200
1999-11-15,25.19,25.5,25.13,25.38,1.79186359812,5351200
1999-11-16,25.88,26.25,25.75,26.06,1.83987255189,8744700
1999-11-17,26.13,26.38,25.81,25.88,1.82716429942,7887700
1999-11-18,25.94,26.19,25.88,26.0,1.83563646773,8826800
1999-11-19,25.94,26.06,25.5,25.63,1.80951394877,8021200
1999-11-22,25.75,27.94,25.69,27.5,1.94153857164,13587100
1999-11-23,27.81,27.88,25.75,25.88,1.82716429942,11005200
1999-11-24,26.25,27.13,26.13,26.69,1.88435143553,5870700
1999-11-26,26.44,26.69,26.19,26.31,1.8575229025400002,3352600
1999-11-29,26.06,26.25,25.5,26.0,1.83563646773,7638900
1999-11-30,25.56,27.06,25.56,26.25,1.85328681838,8701700
1999-12-01,26.19,27.38,26.13,26.88,1.8977657020200003,10004600
1999-12-02,26.94,26.94,26.38,26.65,1.88152737942,7957200
1999-12-03,26.63,26.88,26.13,26.38,1.8624650007199999,7350700
1999-12-06,26.25,26.38,26.0,26.06,1.83987255189,5861600
1999-12-07,26.38,26.63,25.88,26.0,1.83563646773,8405700
1999-12-08,25.94,26.0,24.94,25.06,1.76927114928,9326100
1999-12-09,24.69,25.0,23.75,24.69,1.7431486303200001,15274300
1999-12-10,24.5,26.0,24.19,26.0,1.83563646773,18974500
1999-12-13,25.0,25.19,24.31,24.63,1.7728012194099998,23753300
1999-12-14,24.06,24.5,23.69,23.94,1.72313687344,32489100
1999-12-15,23.94,24.5,23.56,23.56,1.69578549449,13187100
1999-12-16,23.75,23.75,23.31,23.31,1.6777911662399998,11125700
1999-12-17,22.75,22.75,22.75,22.75,1.6374838709600001,17785200
1999-12-20,22.94,23.38,22.88,23.13,1.6648352499,12013900
1999-12-21,22.94,23.13,22.56,23.0,1.65547819921,9560000
1999-12-22,23.0,23.13,22.63,22.94,1.6511595604299998,9456600
1999-12-23,23.06,23.69,23.0,23.44,1.6871482169299998,7436900
1999-12-27,23.5,23.63,21.5,21.5,1.54751222969,11025400
1999-12-28,22.19,22.94,21.94,22.13,1.5928579368900002,14459900
1999-12-29,22.31,23.56,22.31,23.31,1.6777911662399998,10482300
1999-12-30,23.56,24.06,23.38,23.69,1.70514254518,9749400
1999-12-31,23.56,23.63,23.0,23.0,1.65547819921,5472200
2000-01-03,23.56,23.94,23.19,23.44,1.6871482169299998,7386600
2000-01-04,23.25,24.25,23.25,23.63,1.7008239064,10538200
2000-01-05,23.81,24.06,23.63,23.88,1.7188182346599998,11697300
2000-01-06,23.5,23.69,23.0,23.06,1.6597968379899999,7152800
2000-01-07,23.25,23.81,23.13,23.69,1.70514254518,7972100
2000-01-10,23.75,24.06,23.75,24.0,1.72745551222,7711300
2000-01-11,24.13,24.63,24.06,24.13,1.7368125629099997,7451400
2000-01-12,24.25,24.56,24.0,24.25,1.7454498404700003,9609400
2000-01-13,24.5,24.56,24.25,24.5,1.76344416872,6263900
2000-01-14,24.56,24.63,23.75,24.25,1.7454498404700003,7813300
2000-01-18,24.06,24.19,23.0,23.0,1.65547819921,7998600
2000-01-19,23.13,23.5,23.0,23.38,1.68282957815,8731100
2000-01-20,23.38,23.38,22.06,22.57,1.62452795461,9977700
2000-01-21,22.19,22.5,21.81,22.0,1.5835008862,13976300
2000-01-24,22.75,23.0,21.88,22.0,1.5835008862,15344200
2000-01-25,22.0,22.88,21.38,21.94,1.5791822474200001,11046800
