timestamp,open,high,low,close,adjusted_close,volume
1999-11-01,98.94,102.5,98.75,102.25,158.848081947,10651667
1999-11-02,103.19,104.88,101.94,102.5,159.236463566,9204300
1999-11-03,103.38,104.0,101.94,103.25,160.401608421,6741933
1999-11-04,107.94,108.63,105.5,106.5,165.45056946100001,10682233
1999-11-05,108.5,115.13,108.5,114.31,177.58361122099998,12912200
1999-11-08,113.5,116.75,110.06,111.5,173.21820183,9149000
1999-11-09,111.75,112.5,108.5,110.5,171.664675356,6803533
1999-11-10,110.13,116.94,109.56,116.75,181.37421581799998,7430267
1999-11-11,116.5,117.44,112.63,116.13,180.411029404,6480600
1999-11-12,116.0,116.44,111.88,116.0,180.209070962,9701067
1999-11-15,115.0,116.25,112.06,115.0,178.655544488,6213900
1999-11-16,115.38,117.63,112.44,117.63,182.741319115,8802033
1999-11-17,117.5,120.94,116.63,119.0,184.869650384,11000967
1999-11-18,120.94,124.25,120.19,123.81,192.34211272299999,7282333
1999-11-19,122.94,126.19,122.13,125.38,194.781149287,6209000
1999-11-22,125.38,125.38,119.75,120.75,187.588321713,6765967
1999-11-23,120.94,120.94,115.06,116.81,181.46742740599998,7567233
1999-11-24,116.81,116.94,114.0,116.94,181.669385848,6445600
1999-11-26,118.56,120.69,117.75,119.03,184.916256178,2786700
1999-11-29,119.63,122.25,117.44,119.5,185.646413621,5847333
1999-11-30,119.0,120.25,114.19,116.69,181.28100422900002,5161333
1999-12-01,114.25,118.06,114.25,116.94,181.669385848,5533267
1999-12-02,118.19,121.5,118.0,118.56,184.186098735,6371633
1999-12-03,120.5,124.81,120.13,124.0,192.637282753,7022167
1999-12-06,125.63,134.5,124.25,130.64,202.952698539,9682867
1999-12-07,133.56,134.06,130.63,131.5,204.288731306,6271533
1999-12-08,131.5,136.44,129.38,129.94,201.865230007,9215967
1999-12-09,129.19,131.75,125.56,129.94,201.865230007,8273067
1999-12-10,129.94,131.0,126.88,131.0,203.511968069,6253567
