timestamp,open,high,low,close,adjusted_close,volume
1999-11-01,39.38,39.5,38.88,39.25,7.92643748886,271400
1999-11-02,39.19,39.81,39.19,39.5,7.976924351839999,206500
1999-11-03,39.38,39.44,39.06,39.38,7.952690657610001,293000
1999-11-04,39.31,39.63,38.63,39.0,7.87595062587,331700
1999-11-05,38.75,39.31,38.75,39.0,7.87595062587,287400
1999-11-08,38.81,39.13,38.56,38.69,7.81334691577,225600
1999-11-09,38.63,38.63,38.13,38.44,7.76286005278,510400
1999-11-10,38.06,38.19,37.25,37.38,7.5487957537199994,640300
1999-11-11,37.31,37.94,37.19,37.81,7.635633158060001,381100
1999-11-12,37.94,38.0,37.63,37.75,7.6235163109399995,332200
1999-11-15,37.5,37.56,37.0,37.06,7.4841725691,285000
1999-11-16,37.0,37.44,36.88,37.19,7.5104257378499995,374200
1999-11-17,36.94,37.19,36.88,37.06,7.4841725691,516100
1999-11-18,36.94,36.94,36.5,36.69,7.409452011880001,208500
1999-11-19,36.44,36.5,36.06,36.13,7.296361438789999,253600
1999-11-22,35.88,36.06,35.5,35.81,7.23173825417,416000
1999-11-23,35.69,35.75,34.94,35.13,7.094413986839999,334000
1999-11-24,35.06,35.38,34.88,35.0,7.068160818089999,257200
1999-11-26,35.19,35.19,34.56,34.69,7.005557107989999,135500
1999-11-29,34.5,34.5,33.31,33.56,6.77735648729,429500
1999-11-30,33.81,35.06,33.75,35.0,7.068160818089999,680600
1999-12-01,34.44,34.88,34.19,34.5,6.9671870921200005,487700
1999-12-02,34.38,34.94,34.31,34.44,6.955070245,297400
1999-12-03,34.75,35.5,34.69,34.69,7.005557107989999,979200
1999-12-06,34.56,34.88,34.31,34.63,6.99344026087,720500
1999-12-07,34.56,34.94,34.5,34.81,7.02979080222,919100
1999-12-08,34.19,34.5,34.06,34.25,7.025751853180001,848600
1999-12-09,34.13,34.5,34.13,34.25,7.025751853180001,1293100
1999-12-10,34.25,34.44,33.13,33.13,6.7960046392999995,1278500
1999-12-13,33.19,33.19,32.0,32.38,6.64215605857,714000
1999-12-14,32.75,32.81,32.44,32.5,6.66677183149,568600
1999-12-15,32.31,33.31,32.31,32.81,6.73036257819,689700
1999-12-16,32.88,32.88,32.5,32.75,6.71805469173,521400
1999-12-17,32.75,32.88,32.44,32.62,6.691387604400001,808900
1999-12-20,32.69,33.0,32.44,32.88,6.74472177905,483000
