timestamp,open,high,low,close,adjusted_close,volume
1999-11-01,34.44,34.56,33.56,33.56,19.9333843173,3635000
1999-11-02,33.63,34.31,33.56,33.69,20.0105994532,2682900
1999-11-03,33.81,34.31,33.75,34.25,20.3432185002,2898500
1999-11-04,34.25,34.56,32.06,33.0,19.6007652702,4683900
1999-11-05,33.0,34.06,33.0,33.81,20.0818749632,4080100
1999-11-08,33.56,33.94,33.5,33.69,20.0105994532,2449400
1999-11-09,33.69,33.75,32.75,32.75,19.4522746243,2391400
1999-11-10,32.75,33.06,32.56,32.69,19.4166368692,4237500
1999-11-11,32.56,32.81,32.44,32.75,19.4522746243,3282500
1999-11-12,32.94,33.13,32.56,33.13,19.6779804062,2409500
1999-11-15,32.81,33.13,32.19,32.56,19.3394217333,2604200
1999-11-16,32.5,33.75,32.44,33.75,20.0462372082,3370300
1999-11-17,33.63,34.63,33.5,34.13,20.2719429901,4214300
1999-11-18,34.13,34.63,34.0,34.56,20.527346901199998,4350500
1999-11-19,34.63,35.13,34.13,34.5,20.491709146199998,4527200
1999-11-22,35.13,36.63,34.75,36.31,21.5667814231,8637400
1999-11-23,36.5,37.13,35.88,36.06,21.4182907771,6060900
1999-11-24,35.88,35.94,35.0,35.19,20.9015433291,3406400
1999-11-26,35.31,35.38,34.81,34.88,20.7174149281,1328300
1999-11-29,34.88,34.94,34.06,34.69,20.6045620371,4712500
1999-11-30,34.19,34.94,34.19,34.56,20.527346901199998,3090200
1999-12-01,34.31,34.81,34.25,34.48,20.4798298945,2953000
1999-12-02,34.38,37.0,34.13,36.69,21.792487205,8161800
1999-12-03,36.38,37.75,36.31,37.13,22.053830742,7442800
1999-12-06,37.06,37.44,36.31,36.88,21.905340096,5641000
1999-12-07,36.63,37.31,36.63,36.94,21.940977851,5861600
1999-12-08,36.56,37.44,36.56,37.01,22.0627401807,4648600
1999-12-09,37.19,37.25,35.75,35.94,21.4248819804,3755700
1999-12-10,36.63,36.94,36.38,36.94,22.0210111396,4618700
1999-12-13,37.44,37.44,35.0,35.31,21.0493206101,5867400
1999-12-14,34.75,35.63,34.75,35.13,20.9420173615,4302300
1999-12-15,35.06,35.06,34.44,34.69,20.6797205314,2771000
1999-12-16,34.5,34.56,33.81,34.0,20.2683914116,4415800
1999-12-17,34.62,35.12,34.5,35.0,20.8645205708,5427400
1999-12-20,34.81,36.0,34.75,35.41,21.108933525999998,6300600
1999-12-21,35.13,35.44,34.56,34.88,20.792985071700002,4263400
1999-12-22,35.06,35.38,34.81,35.06,20.9002883203,3809400
1999-12-23,35.56,36.0,35.13,35.44,21.1268174008,2765700
1999-12-27,35.19,36.44,35.19,36.44,21.72294656,2452300
1999-12-28,36.25,37.13,36.13,36.63,21.8362111002,4185700
1999-12-29,36.63,36.75,35.56,35.56,21.1983528999,1189400
1999-12-30,35.5,36.13,35.5,35.5,21.162585150399998,1939400
1999-12-31,35.5,35.69,35.25,35.25,21.0135528606,1223500
2000-01-03,35.38,37.38,35.13,36.88,21.98524339,5298400
2000-01-04,36.56,37.56,35.75,35.94,21.4248819804,4555700
2000-01-05,35.81,36.31,35.25,35.44,21.1268174008,5701900
2000-01-06,34.75,36.88,34.5,36.63,21.8362111002,6863100
2000-01-07,36.88,38.63,36.69,37.63,22.4323402594,10527800
2000-01-10,38.13,38.19,36.63,36.88,21.98524339,6402500
2000-01-11,37.25,37.63,36.63,36.75,21.907746599299998,5607800
2000-01-12,36.75,37.25,36.31,36.31,21.645449769299997,4267300
2000-01-13,36.31,36.63,35.94,35.94,21.4248819804,3144200
2000-01-14,36.06,36.81,35.94,36.19,21.5739142702,5413700
2000-01-18,35.94,37.0,35.56,36.25,21.6096820197,4821600
2000-01-19,36.88,36.88,35.94,36.44,21.72294656,3999700
2000-01-20,36.44,36.44,36.0,36.13,21.538146520599998,3106100
2000-01-21,36.19,36.44,35.75,36.13,21.538146520599998,4454400
2000-01-24,36.19,36.38,34.81,35.31,21.0493206101,3785000
2000-01-25,35.31,35.38,33.88,34.31,20.453191451,4356500
2000-01-26,34.31,34.94,33.75,33.94,20.2326236621,3174100
2000-01-27,34.0,34.31,33.25,33.81,20.1551268714,2610100
2000-01-28,33.56,34.0,33.19,33.25,19.8212945422,4090800
2000-01-31,33.5,34.38,33.25,34.13,20.3458882023,2989600
2000-02-01,34.0,34.31,33.69,34.0,20.2683914116,3602600
2000-02-02,33.75,33.94,32.94,33.0,19.6722622525,3289100
2000-02-03,33.0,33.38,32.63,33.06,19.708030002,3662900
2000-02-04,33.63,34.13,32.69,32.75,19.5232299627,3885600
2000-02-07,32.88,33.19,32.25,32.38,19.3026621738,3999700
2000-02-08,33.31,33.75,33.0,33.31,19.857062291800002,5010500
2000-02-09,35.0,35.13,33.75,34.0,20.2683914116,8432500
2000-02-10,34.88,34.88,34.06,34.63,20.6439527819,5909500
2000-02-11,35.0,35.13,34.0,34.38,20.4949204921,5530400
2000-02-14,34.19,34.5,33.94,34.06,20.304159161199998,3493300
2000-02-15,34.0,34.88,34.0,34.19,20.3816559519,3909600
2000-02-16,34.13,34.81,33.94,34.0,20.2683914116,4606800
2000-02-17,34.56,34.81,34.25,34.31,20.453191451,2847700
2000-02-18,34.38,34.75,33.94,34.25,20.4174237014,3664500
2000-02-22,34.31,34.88,34.13,34.69,20.6797205314,2929400
2000-02-23,34.31,34.75,34.0,34.19,20.3816559519,3249300
2000-02-24,34.06,34.38,33.19,34.0,20.2683914116,3612800
2000-02-25,34.0,34.38,32.69,32.75,19.5232299627,4205500
2000-02-28,33.19,33.88,32.75,33.25,19.8212945422,3654700
2000-02-29,32.88,33.06,32.13,32.13,19.153629884,4635500
2000-03-01,32.0,32.94,31.88,32.56,19.4099654224,5496400
2000-03-02,32.69,32.88,31.56,31.56,18.8138362633,5170400
2000-03-03,32.5,32.5,31.31,31.63,18.8555653044,4626600
2000-03-06,31.06,31.44,30.69,31.0,18.4800039341,4457900
2000-03-07,31.0,31.5,29.69,30.63,18.2594361452,7053200
2000-03-08,31.0,31.5,30.06,30.5,18.262416791,5159800
2000-03-09,30.75,31.75,30.63,31.38,18.789332423,3913200
2000-03-10,31.06,31.38,30.5,30.75,18.412108731900002,3649100
2000-03-13,30.13,31.19,30.13,31.13,18.6396404821,4308000
2000-03-14,30.63,30.75,30.13,30.69,18.3761826661,4602900
2000-03-15,30.44,33.19,30.31,33.19,19.8731020752,5463800
2000-03-16,33.0,34.19,32.25,34.06,20.3940300296,5410300
2000-03-17,33.0,33.94,32.81,33.0,19.759336200099998,4464500
2000-03-20,32.5,33.63,32.25,33.25,19.909028141,2643800
2000-03-21,33.38,34.31,32.63,34.31,20.5437219705,5479700
2000-03-22,34.31,34.38,32.75,33.5,20.058720082,3431700
2000-03-23,32.88,34.0,32.75,33.5,20.058720082,3792400
2000-03-24,33.0,33.5,32.56,32.94,19.7234101343,3345700
2000-03-27,32.75,32.94,31.56,32.36,19.376124831400002,3397100
2000-03-28,31.69,33.13,31.56,32.5,19.4599523183,4814300
2000-03-29,32.38,33.69,32.38,33.25,19.909028141,4254400
2000-03-30,33.94,35.94,33.81,35.94,21.5197134252,6850900
2000-03-31,36.0,36.06,34.56,34.88,20.8850195958,4957600
2000-04-03,34.63,36.38,34.63,36.13,21.633479300300003,4337100
2000-04-04,36.13,37.25,35.5,36.44,21.8190973071,5803400
2000-04-05,37.0,37.38,36.5,36.75,22.004715313800002,4780500
2000-04-06,36.69,37.31,36.13,36.81,22.0406413796,4050000
