timestamp,open,high,low,close,adjusted_close,volume
1999-11-01,59.44,60.06,59.13,59.88,31.8569461769,678700
1999-11-02,60.06,61.31,59.56,59.81,31.8197052579,860000
1999-11-03,59.94,59.94,58.31,58.5,31.122768058600002,734600
1999-11-04,58.63,60.06,58.56,59.81,31.8197052579,565200
1999-11-05,60.25,61.94,60.25,61.0,32.4528008816,1090500
1999-11-08,60.88,62.0,60.63,62.0,32.9848140108,867000
1999-11-09,62.0,62.0,59.5,59.88,31.8569461769,577100
1999-11-10,59.5,59.5,58.38,58.38,31.0589264831,652700
1999-11-11,58.38,58.75,57.81,58.13,30.9259232008,724600
1999-11-12,58.38,60.69,58.38,60.69,32.2878768116,573700
1999-11-15,60.31,60.69,60.13,60.63,32.2559560238,376900
1999-11-16,60.5,61.19,60.38,61.0,32.4528008816,825400
1999-11-17,60.75,60.81,59.38,59.63,31.7239428946,538600
1999-11-18,59.63,60.0,59.31,59.44,31.622860400100002,853500
1999-11-19,59.38,59.5,59.06,59.38,31.5909396123,618200
1999-11-22,59.0,59.06,58.06,58.13,30.9259232008,573100
1999-11-23,58.13,58.25,56.94,57.13,30.393910071599997,419300
1999-11-24,56.5,56.94,56.06,56.13,29.861896942399998,304600
1999-11-26,56.13,56.81,56.06,56.5,30.0587418002,152000
1999-11-29,56.56,56.56,54.5,54.5,28.994715541799998,432100
1999-11-30,54.0,56.56,53.94,55.75,29.6597319533,772700
1999-12-01,55.0,55.63,54.88,55.63,29.595890377800004,636700
1999-12-02,55.44,55.63,54.5,54.75,29.127718824099997,364900
1999-12-03,55.25,56.5,54.63,55.19,29.3618046009,2999300
1999-12-06,55.0,55.0,50.5,51.06,27.1645903773,2164400
1999-12-07,49.5,49.88,46.25,48.0,25.5366302019,2476300
1999-12-08,47.5,48.88,47.31,47.5,25.2706236373,979500
1999-12-09,47.5,48.63,47.38,48.13,25.6057919087,1022600
1999-12-10,48.5,49.31,47.75,47.75,25.4036269196,1339800
1999-12-13,47.63,48.13,47.25,47.75,25.4036269196,1035700
1999-12-14,47.94,48.0,46.69,46.94,24.972696285,806500
1999-12-15,47.13,47.31,45.69,45.69,24.3076798735,1143800
1999-12-16,45.88,46.13,43.0,43.0,22.8765645559,2385400
1999-12-17,43.13,43.13,43.13,43.13,22.9457262627,2326500
1999-12-20,43.38,44.25,43.25,43.81,23.3074951906,1446400
1999-12-21,43.94,44.75,43.38,43.88,23.3447361096,2016600
1999-12-22,43.88,44.38,43.69,43.75,23.275574402800004,976200
1999-12-23,43.88,44.63,43.88,44.06,23.4404984729,1031400
1999-12-27,44.31,44.81,43.81,44.06,23.4404984729,1240400
1999-12-28,44.0,44.69,44.0,44.19,23.5096601797,1053200
1999-12-29,44.19,44.88,44.13,44.69,23.775666744299997,575000
1999-12-30,44.56,45.5,44.31,44.75,23.807587532,607300
1999-12-31,44.56,45.0,44.44,44.5,23.674584249699997,280900
2000-01-03,44.0,44.0,41.69,42.19,22.4456339212,703500
2000-01-04,42.13,42.13,40.0,40.88,21.748696722,1318500
2000-01-05,40.81,41.56,40.81,41.31,21.9774623675,1078900
2000-01-06,40.88,43.5,40.88,43.0,22.8765645559,1490700
2000-01-07,43.0,43.5,42.56,43.06,22.908485343600002,1128000
2000-01-10,44.0,44.0,41.5,41.56,22.110465649800002,945800
2000-01-11,41.5,41.63,40.88,41.13,21.881700004299997,548000
2000-01-12,41.25,42.25,41.13,42.0,22.5839573348,831400
2000-01-13,43.5,46.0,42.94,45.81,24.6326448931,1703500
2000-01-14,47.25,47.38,45.75,46.75,25.1380953667,1377200
2000-01-18,46.75,46.75,45.81,45.94,24.7025476181,1056000
2000-01-19,45.94,46.88,45.31,45.31,24.363788258099998,845200
2000-01-20,45.5,45.5,43.63,44.0,23.6593838746,998900
2000-01-21,44.06,44.13,42.94,43.88,23.594858282199997,1203300
2000-01-24,44.0,44.13,43.25,43.44,23.358264443499998,1352700
2000-01-25,43.69,44.25,43.63,44.06,23.6916466708,1014300
2000-01-26,43.88,45.19,43.75,45.19,24.299262665700002,989300
2000-01-27,45.5,46.94,45.06,46.69,25.1058325706,1424300
2000-01-28,46.25,46.5,45.56,45.88,24.670284822,1545700
2000-01-31,45.88,48.0,45.75,48.0,25.8102369541,1292500
2000-02-01,48.0,48.5,47.5,48.25,25.944665271599998,802400
2000-02-02,48.0,48.19,46.63,46.75,25.1380953667,1043000
2000-02-03,46.5,46.81,45.25,45.5,24.4659537794,1148700
2000-02-04,45.63,45.94,44.44,44.56,23.9605033057,757400
2000-02-07,44.56,44.56,43.06,44.13,23.729286599699996,611800
2000-02-08,44.38,45.94,44.38,45.06,24.2293599407,786200
2000-02-09,44.88,45.19,44.06,44.06,23.6916466708,682700
2000-02-10,44.25,44.5,42.25,42.69,22.954979491,733400
2000-02-11,42.69,43.5,41.81,42.13,22.653860059899998,554600
2000-02-14,42.13,42.31,41.38,41.63,22.385003425,464800
2000-02-15,41.56,43.25,41.5,43.13,23.1915733298,570800
2000-02-16,43.06,43.13,41.94,42.0,22.5839573348,559400
2000-02-17,43.13,43.13,41.38,41.75,22.449529017399996,635000
2000-02-18,41.0,41.19,39.0,40.0,21.508530795100004,1069600
2000-02-22,39.63,40.0,38.81,39.5,21.2396741601,854600
2000-02-23,39.56,39.63,38.38,39.13,21.0407202503,671000
2000-02-24,39.06,39.13,38.0,38.0,20.433104255299998,755000
2000-02-25,38.25,39.25,37.63,37.63,20.234150345499998,847900
2000-02-28,38.13,39.69,38.06,39.06,21.003080321400002,922400
2000-02-29,39.25,39.25,38.63,38.69,20.8041264115,955200
2000-03-01,38.63,39.0,37.88,38.75,20.836389207699998,755900
2000-03-02,38.69,39.0,38.0,38.88,20.9062919328,703100
2000-03-03,39.5,39.5,38.38,38.94,20.938554729,565800
2000-03-06,39.0,39.25,38.13,38.13,20.5030069804,442600
2000-03-07,38.13,38.13,36.5,36.69,19.7286998718,698800
2000-03-08,36.94,37.25,36.0,36.63,19.6964370756,862400
2000-03-09,36.81,37.38,36.69,37.0,19.8953909854,1005300
2000-03-10,37.25,37.63,37.0,37.44,20.1319848242,1005700
2000-03-13,36.88,37.94,36.81,37.13,19.9652937105,618400
2000-03-14,37.06,37.63,36.88,36.94,19.8631281893,667400
2000-03-15,37.0,40.5,37.0,40.0,21.508530795100004,1550200
2000-03-16,43.5,45.25,42.19,44.94,24.164834348299998,1954500
2000-03-17,43.88,44.88,42.94,43.69,23.492692760900002,1209600
2000-03-20,43.81,43.88,41.5,42.06,22.616220131,596000
2000-03-21,42.19,44.75,41.94,44.19,23.7615493959,1484300
2000-03-22,44.38,45.0,43.69,44.81,24.0949316232,587600
2000-03-23,44.31,46.19,43.75,45.94,24.7025476181,710000
2000-03-24,45.69,46.63,44.63,45.31,24.363788258099998,821300
2000-03-27,45.31,45.44,43.38,43.63,23.460429964699998,755100
2000-03-28,43.38,44.88,43.25,44.31,23.826074988200002,802600
2000-03-29,44.56,44.56,43.88,44.13,23.729286599699996,739300
2000-03-30,45.5,45.5,43.5,44.13,23.729286599699996,900000
2000-03-31,45.0,46.38,43.81,45.06,24.2293599407,856200
2000-04-03,45.56,47.5,45.56,47.38,25.4768547268,1020400
2000-04-04,47.38,47.94,45.31,45.88,24.670284822,1066700
2000-04-05,46.0,46.44,45.31,45.44,24.4336909832,883200
2000-04-06,45.5,46.0,45.19,45.63,24.535856504499996,745200
2000-04-07,45.63,46.0,44.13,44.31,23.826074988200002,746000
2000-04-10,44.19,45.81,44.06,45.5,24.4659537794,649800
2000-04-11,45.5,46.88,45.38,46.75,25.1380953667,784200
2000-04-12,46.0,48.75,46.0,47.31,25.681185769299997,1628600
2000-04-13,47.56,47.56,46.69,46.88,25.4477697921,638100
2000-04-14,45.5,46.0,44.63,44.75,24.291546463299998,1537100
2000-04-17,44.69,45.25,43.5,44.5,24.1558394998,905900
2000-04-18,43.5,45.38,43.25,45.19,24.530390719,831500
2000-04-19,45.0,45.0,43.5,43.75,23.7487186093,625400
2000-04-20,44.25,44.81,43.63,44.06,23.916995244099997,504600
2000-04-24,44.88,46.0,44.63,45.75,24.834374317199998,993500
2000-04-25,46.25,48.0,45.75,47.5,25.7843230616,778600
2000-04-26,47.5,47.5,45.75,46.44,25.2089255364,817000
2000-04-27,45.06,45.38,43.31,44.88,24.3621140843,965200
2000-04-28,44.5,44.75,42.0,43.63,23.6835792669,1174600
2000-05-01,43.0,44.81,42.5,43.94,23.851855901599997,847700
2000-05-02,43.94,44.25,42.94,43.0,23.341597718899997,1178500
2000-05-03,43.38,43.75,42.38,42.44,23.037614120700002,653900
2000-05-04,42.44,42.44,41.38,41.69,22.6304932302,470900
2000-05-05,41.13,42.06,41.0,41.69,22.6304932302,371500
2000-05-08,41.63,43.63,41.63,43.19,23.4447350111,528500
2000-05-09,43.0,44.56,42.75,43.06,23.374167390100002,483900
2000-05-10,43.25,43.38,42.81,43.0,23.341597718899997,559800
2000-05-11,43.88,45.13,43.81,44.63,24.226407120799998,706400
2000-05-12,44.38,45.75,44.25,45.25,24.5629603902,404100
2000-05-15,45.25,45.81,45.06,45.25,24.5629603902,706100
2000-05-16,45.38,45.69,44.5,44.88,24.3621140843,523200
2000-05-17,44.0,45.31,44.0,44.63,24.226407120799998,381400
2000-05-18,44.63,46.25,44.63,45.63,24.769234974699998,491600
2000-05-19,45.0,45.56,43.75,44.06,23.916995244099997,368500
2000-05-22,44.31,45.88,44.19,45.69,24.801804646,835500
2000-05-23,46.0,47.69,45.75,47.38,25.7191837191,729800
2000-05-24,48.38,49.25,48.19,48.56,26.3597205867,757500
2000-05-25,47.63,48.44,46.44,47.06,25.5454788058,691400
2000-05-26,47.25,49.13,47.0,48.31,26.2240136232,649300
2000-05-30,48.88,49.94,48.63,49.75,27.005685732899998,726800
2000-05-31,49.75,50.44,49.63,50.0,27.141392696399997,1124100
2000-06-01,50.5,53.75,50.44,53.56,29.0738598564,1932100
2000-06-02,57.5,57.5,55.88,56.5,30.6697737469,2178300
2000-06-05,56.0,56.44,54.5,54.5,29.584118039099998,1689900
2000-06-06,54.5,54.5,52.56,53.08,28.8133024865,1352200
2000-06-07,53.63,55.44,53.63,55.25,29.9912389295,794800
2000-06-08,54.5,54.56,53.81,54.31,29.480980746799997,733900
2000-06-09,54.19,55.0,53.75,54.31,29.480980746799997,962700
2000-06-12,54.25,55.25,54.25,55.13,29.926099587,844200
2000-06-13,55.0,55.25,54.13,54.88,29.790392623600003,701900
2000-06-14,55.0,56.5,54.88,55.88,30.3332204775,1293600
2000-06-15,54.0,54.19,52.0,53.5,29.041290185100003,3158300
2000-06-16,53.0,53.0,50.0,51.13,27.7547881713,2073300
2000-06-19,51.13,52.63,49.88,51.63,28.0262020983,1509400
2000-06-20,51.94,52.13,51.56,51.88,28.1619090618,1002000
2000-06-21,51.63,52.25,50.63,52.25,28.3627553677,1636800
2000-06-22,52.0,52.25,51.06,51.56,27.9882041485,899500
2000-06-23,51.75,52.25,51.13,51.13,27.7547881713,620400
2000-06-26,51.13,51.5,50.84,51.13,27.7547881713,955500
2000-06-27,51.0,51.38,50.13,50.44,27.3802369521,1588000
2000-06-28,50.56,52.19,50.5,50.86,27.6082246508,821300
2000-06-29,50.38,50.38,49.06,49.25,26.7342718059,937500
2000-06-30,49.13,49.25,46.38,46.88,25.4477697921,1983800
2000-07-03,48.0,49.19,47.81,48.75,26.462857879,851600
2000-07-05,48.81,49.94,48.5,48.94,26.565995171199997,869200
2000-07-06,49.19,49.19,47.63,48.94,26.565995171199997,576900
2000-07-07,49.13,51.5,49.13,51.31,27.852497185,928900
2000-07-10,50.81,51.88,50.75,50.88,27.6190812078,635900
2000-07-11,50.88,51.31,50.63,51.19,27.787357842600002,459400
2000-07-12,50.69,52.38,50.69,51.19,28.0316303768,810400
2000-07-13,50.94,51.0,48.94,49.0,26.8323869597,818600
2000-07-14,50.5,51.81,50.06,51.0,27.927586427399998,884300
2000-07-17,50.88,51.38,50.0,50.44,27.6209305764,1045200
2000-07-18,50.5,51.38,49.81,50.5,27.653786560500002,611800
2000-07-19,50.44,51.31,50.44,50.69,27.757830509899996,462600
2000-07-20,50.75,53.31,50.75,52.44,28.7161300442,1030600
2000-07-21,52.69,53.38,52.31,52.44,28.7161300442,788200
2000-07-24,52.44,53.81,52.31,53.38,29.230873794,755900
2000-07-25,53.5,53.94,53.44,53.69,29.400629711500002,675900
2000-07-26,53.44,53.44,51.63,51.88,28.4094741932,848500
2000-07-27,52.19,53.19,51.5,52.0,28.4751861613,505300
2000-07-28,52.0,52.0,50.63,50.69,27.757830509899996,415100
