timestamp,open,high,low,close,adjusted_close,volume
1999-11-01,52.0,53.0,51.31,53.0,16.3270655779,5985500
1999-11-02,53.0,53.0,50.5,50.75,15.6339354354,7057100
1999-11-03,50.75,51.13,49.63,50.56,15.5754044456,7647100
1999-11-04,50.31,50.81,49.5,49.81,15.344361064800001,5442700
1999-11-05,51.0,51.44,50.5,51.25,15.787964356,4816700
1999-11-08,50.63,51.69,50.63,51.0,15.710949895699999,3490600
1999-11-09,51.19,51.31,50.75,50.81,15.6524189059,3747700
1999-11-10,50.75,51.38,50.44,50.88,15.6739829548,5801200
1999-11-11,51.06,51.38,50.69,51.13,15.750997415,4774000
1999-11-12,51.44,51.81,50.75,51.06,15.729433366199999,3773000
1999-11-15,50.94,51.31,50.25,50.94,15.6924664252,3558300
1999-11-16,50.94,51.06,49.88,50.69,15.615451965,6193000
1999-11-17,50.56,52.44,50.5,51.63,15.905026335599999,5154600
1999-11-18,51.88,52.0,50.63,51.34,15.815689561700001,5313700
1999-11-19,50.0,51.94,50.0,51.5,15.864978816199999,5277500
1999-11-22,51.44,52.31,50.38,51.38,15.8280118753,6078000
1999-11-23,51.31,51.69,50.75,51.13,15.750997415,4710500
1999-11-24,52.0,52.0,50.75,50.94,15.6924664252,4564500
1999-11-26,51.0,52.88,50.94,52.0,16.0190077368,2666300
1999-11-29,52.0,52.25,51.44,52.0,16.0190077368,5189500
1999-11-30,52.06,53.88,51.75,51.88,15.9820407959,7482200
1999-12-01,52.06,52.75,51.56,52.13,16.0590552561,5089900
1999-12-02,51.88,52.63,51.0,51.56,15.8834622867,3891500
1999-12-03,52.88,53.94,52.38,53.5,16.481094498399997,5235100
1999-12-06,53.88,54.0,52.56,53.06,16.3455490484,3561300
1999-12-07,53.0,55.5,52.19,54.94,16.9246977896,8251100
1999-12-08,54.06,54.56,53.56,54.07,16.6566874679,4589000
1999-12-09,54.19,54.94,53.63,54.0,16.635123419,4709800
1999-12-10,54.19,54.31,53.06,53.5,16.481094498399997,3171600
1999-12-13,52.94,53.31,51.63,53.31,16.4225635086,4399300
1999-12-14,53.0,54.38,52.31,53.25,16.4040800382,5476400
1999-12-15,53.5,53.56,51.88,52.06,16.0374912073,5143000
1999-12-16,51.81,52.0,50.75,51.5,15.864978816199999,7701200
1999-12-17,51.12,51.69,50.94,51.38,15.8280118753,8651100
1999-12-20,51.0,51.25,50.0,50.56,15.5754044456,5554000
1999-12-21,50.06,51.06,50.06,50.5,15.5569209752,4530900
1999-12-22,50.75,51.25,50.06,50.25,15.4799065149,4351800
1999-12-23,50.75,51.13,50.38,50.81,15.6524189059,2918500
1999-12-27,50.81,51.0,48.5,48.94,15.076350743099999,4761800
1999-12-28,49.69,49.94,48.94,49.25,15.171848673800001,2941400
1999-12-29,49.38,49.63,47.38,47.5,14.6327474519,3560700
1999-12-30,48.0,48.5,47.5,47.69,14.691278441700002,3127000
1999-12-31,48.06,49.0,48.0,48.75,15.0178197532,2021800
2000-01-03,48.56,49.0,46.62,47.0,14.478718531300002,5791900
2000-01-04,47.06,47.75,43.5,44.25,13.631559468299999,7173600
2000-01-05,45.0,45.13,44.44,44.75,13.7855883889,9090000
2000-01-06,44.56,45.0,43.13,43.75,13.5526196466,7153600
2000-01-07,44.56,44.75,43.38,44.13,13.670333828599999,5885600
2000-01-10,44.75,45.0,44.25,44.75,13.8623938099,7118700
2000-01-11,44.69,44.94,43.81,44.13,13.670333828599999,6472800
2000-01-12,43.5,43.56,41.5,41.81,12.9516577697,8920000
2000-01-13,42.38,42.94,40.75,40.81,12.6418836063,8250000
2000-01-14,41.25,42.0,40.0,42.0,13.010514860699999,9888300
2000-01-18,42.13,43.06,40.88,41.13,12.741011338599998,9824500
2000-01-19,41.0,41.0,40.0,40.56,12.5644400655,10212300
2000-01-20,40.81,41.56,40.06,41.0,12.7007406973,10080400
2000-01-21,42.88,43.38,42.0,43.0,13.320289024000001,15950400
2000-01-24,43.44,43.5,40.94,42.0,13.010514860699999,9980400
2000-01-25,41.0,41.13,38.56,40.0,12.390966534,15943100
2000-01-26,40.5,40.5,39.69,40.0,12.390966534,7662100
2000-01-27,40.06,40.31,39.0,39.0,12.0811923706,6920100
2000-01-28,39.31,40.44,39.0,39.25,12.158635911500001,8650600
2000-01-31,39.5,43.5,39.06,42.88,13.283116124400001,11255300
2000-02-01,43.0,43.0,41.75,42.38,13.1282290428,8949600
2000-02-02,43.0,43.13,42.5,42.5,13.1654019424,6675100
2000-02-03,43.0,43.19,41.31,42.0,13.010514860699999,7703800
2000-02-04,42.0,42.38,41.56,42.0,13.010514860699999,6773000
2000-02-07,41.38,42.31,41.06,41.88,12.9733419611,5804500
2000-02-08,42.5,43.0,42.0,42.06,13.0291013105,5669800
2000-02-09,42.31,42.81,42.0,42.63,13.205672583599998,6809500
2000-02-10,42.38,42.44,41.94,42.13,13.0507855019,5151200
2000-02-11,42.0,42.06,39.75,40.44,12.5272671659,5575700
2000-02-14,39.5,41.5,39.44,40.88,12.663567797699999,8459100
2000-02-15,40.0,41.0,39.56,40.69,12.6047107067,8191900
2000-02-16,40.38,40.69,38.75,39.06,12.0997788204,8475100
2000-02-17,38.94,40.0,38.0,40.0,12.390966534,9273600
2000-02-18,38.06,38.25,36.0,38.25,11.8488617481,13922400
2000-02-22,37.25,37.31,35.56,36.5,11.3067569623,14056000
2000-02-23,36.0,36.5,34.81,35.75,11.0744263398,12876300
2000-02-24,35.44,35.88,34.81,35.5,10.996982798900001,12888000
2000-02-25,36.0,36.69,34.94,35.44,10.9783963491,11357400
2000-02-28,35.75,37.5,35.75,37.0,11.461644043900002,11264900
2000-02-29,37.19,38.13,37.13,37.75,11.6939746665,8579000
